Epsilon,Num_High_Mean,Num_High_CI_Low,Num_High_CI_High,Num_Low_Mean,Num_Low_CI_Low,Num_Low_CI_High,Size_High_Mean,Size_High_CI_Low,Size_High_CI_High,Size_Low_Mean,Size_Low_CI_Low,Size_Low_CI_High
0.1,38.659,38.0,39.0,38.0,38.0,38.0,1.1203819163292847,1.105263157894737,1.1282051282051282,1.1405526315789476,1.131578947368421,1.1578947368421053
0.15000000000000002,35.428,33.0,37.0,31.14,30.0,32.0,1.2350164353046702,1.1816844919786096,1.2777777777777777,1.4802721681497961,1.4479022988505748,1.53125
0.20000000000000004,28.885,27.0,31.0,27.786,25.0,30.0,1.4622707849992056,1.3571428571428572,1.6206896551724137,2.022364040882489,1.84,2.2413793103448274
0.25000000000000006,22.822,21.0,25.0,22.493,20.0,25.0,1.7217402220967437,1.4285714285714286,1.96,2.8921540839716218,2.6666666666666665,3.125
0.30000000000000004,20.256,19.0,22.0,18.237,16.0,20.0,1.9685907609933924,1.6,2.2857142857142856,4.044684505157726,3.611111111111111,4.470588235294118
0.3500000000000001,17.969,15.975000000000001,20.0,14.253,11.0,17.0,2.4193034229959927,1.6875,3.0476190476190474,5.123125137199402,4.399615384615385,5.866666666666666
0.40000000000000013,15.841,14.0,17.0,13.266,11.0,15.024999999999977,2.292836040185305,1.8571428571428572,3.176470588235294,6.431301633007515,5.384615384615385,7.3076923076923075
0.4500000000000001,15.77,14.975000000000001,17.0,10.978,9.0,13.0,2.6717082983193277,2.1333333333333333,3.235294117647059,7.543426812076812,6.599583333333333,8.555555555555555
0.5000000000000001,14.724,13.0,16.0,10.203,8.0,12.0,2.6288070620555914,1.8461538461538463,3.6254464285714283,8.64179933122433,7.25,9.800454545454546
0.5500000000000002,14.503,13.0,16.0,9.371,8.0,11.0,2.939822282374488,2.0,3.8136160714285703,9.319794624819624,7.747916666666667,10.727272727272727
0.6000000000000002,14.191,13.0,16.0,8.138,7.0,9.0,3.3473273809523807,2.4615384615384617,4.357589285714285,10.506128174603175,8.714285714285714,12.002777777777775
0.6500000000000001,13.81,12.0,15.0,7.651,6.0,9.0,3.4449033882783877,2.3846153846153846,4.6,11.389117063492064,9.142857142857142,13.125446428571427
0.7000000000000002,13.665,12.0,15.0,7.322,6.0,9.0,3.5826576923076927,2.1538461538461537,5.0,12.02794722222222,9.428571428571429,14.0
0.7500000000000002,12.87,11.0,14.0,6.084,5.0,7.0,3.7180894522144525,2.272727272727273,5.572142857142857,15.054391666666666,12.0,17.285714285714285
0.8000000000000003,12.197,11.0,13.0,4.684,4.0,6.0,4.319669713619714,2.6363636363636362,6.166666666666667,18.89895476190476,15.0,21.8
0.8500000000000003,11.738,10.0,13.0,4.415,3.0,6.0,4.455987529137528,2.6363636363636362,6.540384615384614,19.844466666666666,15.495833333333334,23.4
0.9000000000000002,11.262,9.0,13.0,4.116,3.0,5.0,5.095607531357532,2.909090909090909,7.154545454545454,20.87935,16.0,26.0
0.9500000000000003,9.822,8.0,12.0,4.782,3.0,6.0,5.2214643217893215,3.111111111111111,7.5,19.629335714285713,13.333333333333334,26.504166666666663
1.0000000000000002,9.986,8.0,12.0,4.024,3.0,5.0,4.965231962481963,2.3333333333333335,7.7,23.85301666666667,18.0,29.666666666666668
