k_corr,res_corr
0.994493707153873,0.999957530611578
0.9994674666577062,0.9999983991220046
0.9997903086455622,0.9999997398114964
0.9998407261970997,0.9999998694579898
0.9999121869249366,0.999999947375074
0.9999592183894331,0.9999999789323487
0.9999712188985279,0.9999999892514905
0.9999788849481501,0.9999999941176155
0.9999835019486407,0.9999999953929217
0.9999865626036153,0.9999999977129386
0.9999890185292246,0.9999999986070716
0.9999908069180222,0.9999999987489178
0.9999921445948807,0.99999999899204
0.9999927050784245,0.999999999138398
0.9999930954847146,0.9999999994730195
0.99999363243227,0.9999999996050927
0.9999946288381668,0.9999999996329785
0.9999953405606341,0.9999999996803762
0.9999962870821029,0.9999999997400574
0.9999967344500885,0.9999999997954166
0.9999973615789863,0.9999999998393241
0.9999976294198396,0.9999999998838307
0.9999978700004626,0.9999999998273994
0.9999981426042235,0.9999999998796943
