k_corr,res_corr
0.9986797259271545,0.9999632833029958
0.9992966716967379,0.9999987470658697
0.999408915528697,0.9999997896815543
0.9996635390808473,0.9999999054605142
0.9998824689646761,0.9999999552091647
0.9999136692456404,0.9999999813771381
0.9999432154681808,0.9999999901219616
0.9999524910692295,0.9999999947221234
0.9999705315113329,0.9999999967878154
0.9999749070704068,0.999999997813745
0.9999795351707057,0.9999999985006114
0.9999906807973101,0.9999999988032098
0.9999923845082813,0.9999999992043037
0.9999943800300315,0.9999999993264115
0.999995394794511,0.9999999996212389
0.9999959390395468,0.9999999997415245
0.9999966692871458,0.999999999813138
0.9999973161610806,0.9999999997832916
0.9999976357209808,0.9999999998237356
0.999997797977421,0.9999999998927098
0.9999984768767242,0.9999999999100606
0.9999986217289665,0.9999999999178452
0.9999988053567923,0.9999999999296265
0.9999988810363978,0.99999999993963
