Epsilon,Num_Balls_Mean,Num_Balls_CI_Lower,Num_Balls_CI_Upper,Avg_Ball_Size_Mean,Avg_Ball_Size_CI_Lower,Avg_Ball_Size_CI_Upper
0.1,72.752,72.0,73.0,1.2028999238964992,1.1917808219178083,1.2083333333333333
0.15000000000000002,60.299,59.0,61.0,1.5460523432434936,1.4915254237288136,1.5901639344262295
0.20000000000000004,49.358,47.0,51.0,2.049465449363336,1.9583111702127658,2.16
0.25000000000000006,41.394,39.0,43.0,2.6019712440697393,2.45,2.775137195121951
0.30000000000000004,35.934,33.0,38.0,3.227920208299311,3.0,3.4572007722007725
0.3500000000000001,31.718,30.0,34.0,3.7029404530927046,3.3548387096774195,4.060653409090909
0.40000000000000013,29.136,27.0,31.0,4.172503690832146,3.7333333333333334,4.620689655172414
0.4500000000000001,25.878,24.0,28.0,4.877035683348802,4.346153846153846,5.400185185185185
0.5000000000000001,23.86,22.0,25.0,5.390430040539171,4.782608695652174,6.040041666666666
0.5500000000000002,21.591,20.0,23.0,5.909795229674978,5.1576973684210525,6.565372670807453
0.6000000000000002,20.195,19.0,22.0,6.486363493054111,5.631578947368421,7.250568181818181
0.6500000000000001,18.906,17.0,21.0,7.072636559424408,5.9411764705882355,8.150197368421052
0.7000000000000002,17.459,16.0,19.0,7.57114383384933,6.352941176470588,8.875183823529412
0.7500000000000002,15.398,14.0,17.0,8.393796503986211,6.9984375,9.8125
0.8000000000000003,14.603,13.0,16.0,8.904131612260288,7.427857142857143,10.5
0.8500000000000003,14.061,12.0,15.0,9.457987728937729,7.928571428571429,11.358214285714284
0.9000000000000002,13.374,12.0,15.0,10.102740892440892,8.416666666666666,11.923214285714286
0.9500000000000003,12.96,11.0,15.0,10.605000416250416,8.692307692307692,12.616071428571427
1.0000000000000002,12.574,11.0,14.0,11.01873852813853,9.153846153846153,13.384615384615385
