Node ID,No. Provinces,Mean L2 Norm (Scaled),Mean Total Persistence (Scaled),Mean Entropy (Scaled),Provinces Included,Provinces (Region),Quartile-based Profile,Profile Description
10,9,-0.10070841941636208,0.4662553320170882,-0.04925869856661051,"BUKIDNON, CAPIZ, DAVAO DEL SUR, EASTERN SAMAR, ISABELA, MASBATE, NEGROS OCCIDENTAL, SOUTHERN LEYTE, ZAMBOANGA SIBUGAY","BUKIDNON (Region 10), CAPIZ (Region 6), DAVAO DEL SUR (Region 11), EASTERN SAMAR (Region 8), ISABELA (Region 2), MASBATE (Region 5), NEGROS OCCIDENTAL (Region 6), SOUTHERN LEYTE (Region 8), ZAMBOANGA SIBUGAY (Region 9)",A-A,A-A: Standard Plurality
11,1,7.791838603945804,2.7698058002800576,-5.094440991822163,LANAO DEL NORTE,LANAO DEL NORTE (Region 10),H-H,H-H: Hyper-Fragmentation
12,1,0.5403902577915946,0.5083825716161152,-0.8587134244180007,LANAO DEL SUR,LANAO DEL SUR (BARMM),H-A,H-A: Polarized Mainstream
13,1,-0.1750936553028212,2.377619864619075,-0.048106082130843726,LEYTE,LEYTE (Region 8),A-H,A-H: Fragile Coalition
14,1,2.1570631125620836,3.883362245017798,-1.755146124636029,MAGUINDANAO,MAGUINDANAO (BARMM),H-H,H-H: Hyper-Fragmentation
15,4,-0.3788456430613242,-1.0521907827023462,0.8751544550114199,"MARINDUQUE, NATIONAL CAPITAL REGION - MANILA, QUIRINO, ZAMBALES","MARINDUQUE (Region 4-B), NATIONAL CAPITAL REGION - MANILA (NCR), QUIRINO (Region 2), ZAMBALES (Region 3)",L-L,L-L: Competitive/Balanced
16,3,0.0610915127216449,-0.4613443314049553,-1.2170755232583275,"DAVAO OCCIDENTAL, OCCIDENTAL MINDORO, SURIGAO DEL NORTE","DAVAO OCCIDENTAL (Region 11), OCCIDENTAL MINDORO (Region 4-B), SURIGAO DEL NORTE (Region 13)",A-L,A-L: Cohesive Swing-Vote
17,1,0.22398577385140298,3.0165322174595217,-0.11226164966693382,SAMAR (WESTERN SAMAR),SAMAR (WESTERN SAMAR) (Region 8),A-H,A-H: Fragile Coalition
18,1,3.192202726039359,0.27176995209161664,-3.122348663599916,SULU,SULU (BARMM),H-A,H-A: Polarized Mainstream
19,3,-0.28838103899929624,-1.1115865463192993,-0.41358287061043314,"BILIRAN, SIQUIJOR, TAGUIG - PATEROS","BILIRAN (Region 8), SIQUIJOR (Region 7), TAGUIG - PATEROS (NCR)",L-L,L-L: Competitive/Balanced
20,1,1.8623478405616376,1.0580748071931543,-3.860575701920952,TAWI-TAWI,TAWI-TAWI (BARMM),H-A,H-A: Polarized Mainstream
21,4,-0.26534633072274383,1.3130659154910314,0.7051196821390102,"CAMARINES SUR, ILOILO, QUEZON, ZAMBOANGA DEL NORTE","CAMARINES SUR (Region 5), ILOILO (Region 6), QUEZON (Region 4-A), ZAMBOANGA DEL NORTE (Region 9)",L-H,L-H: Hyper-Local Fragmentation
22,1,-0.13057993738707951,2.1655855137103663,0.7050873601678738,ZAMBOANGA DEL SUR,ZAMBOANGA DEL SUR (Region 9),A-H,A-H: Fragile Coalition
