Node ID,No. Provinces,Provinces Included,Provinces (Region),No. of Provinces in each Region,Mean Entropy (Raw),Mean L2 Norm (Raw),Mean Total Persistence (Raw),Mean Entropy (Scaled),Mean L2 Norm (Scaled),Mean Total Persistence (Scaled),Mean Admin Vote Share,Mean 2018 Poverty Incidence,Mean HHI,Mean GINI,Majority Dominant Dialect,Major Dialect Ratio,Provinces (Dialect)
0,12,"ABRA, AGUSAN DEL NORTE, AKLAN, BUKIDNON, CAPIZ, DAVAO (DAVAO DEL NORTE), ILOCOS NORTE, MISAMIS ORIENTAL, SARANGANI, SULTAN KUDARAT, SURIGAO DEL NORTE, SURIGAO DEL SUR","ABRA (CAR), AGUSAN DEL NORTE (Region 13), AKLAN (Region 6), BUKIDNON (Region 10), CAPIZ (Region 6), DAVAO (DAVAO DEL NORTE) (Region 11), ILOCOS NORTE (Region 1), MISAMIS ORIENTAL (Region 10), SARANGANI (Region 12), SULTAN KUDARAT (Region 12), SURIGAO DEL NORTE (Region 13), SURIGAO DEL SUR (Region 13)","Region 13 (3), Region 6 (2), Region 10 (2), Region 12 (2), CAR (1), Region 11 (1), Region 1 (1)",0.9576221205234953,1.1469337294384918,19.181752913938404,-0.35647355407025844,-0.11034813606095041,-0.23243974576175486,0.6301579450152448,16.741666666666664,5.065369564096537,0.7681008804508171,Bisaya/ Binisaya,4/12,"ABRA (Ilocano), AGUSAN DEL NORTE (Bisaya/ Binisaya), AKLAN (Other Local Ethnicity), BUKIDNON (Cebuano), CAPIZ (Capizeño), DAVAO (DAVAO DEL NORTE) (Bisaya/ Binisaya), ILOCOS NORTE (Ilocano), MISAMIS ORIENTAL (Bisaya/ Binisaya), SARANGANI (Blaan), SULTAN KUDARAT (Ilonggo), SURIGAO DEL NORTE (Surigaonon), SURIGAO DEL SUR (Bisaya/ Binisaya)"
1,3,"AGUSAN DEL SUR, DAVAO OCCIDENTAL, SURIGAO DEL NORTE","AGUSAN DEL SUR (Region 13), DAVAO OCCIDENTAL (Region 11), SURIGAO DEL NORTE (Region 13)","Region 13 (2), Region 11 (1)",0.9437072785715387,2.0370610832199607,18.583149559121807,-1.2730636015658714,0.16002497130346946,-0.27197096296907847,0.6841237285275891,30.066666666666666,5.215455338830664,0.7951972262074772,Manobo,1/3,"AGUSAN DEL SUR (Manobo), DAVAO OCCIDENTAL (Tagakaulo), SURIGAO DEL NORTE (Surigaonon)"
2,15,"ALBAY, ANTIQUE, BATANGAS, BENGUET, CATANDUANES, IFUGAO, ILOCOS SUR, LAGUNA, NUEVA ECIJA, PALAWAN, PAMPANGA, PANGASINAN, ROMBLON, SORSOGON, TARLAC","ALBAY (Region 5), ANTIQUE (Region 6), BATANGAS (Region 4-A), BENGUET (CAR), CATANDUANES (Region 5), IFUGAO (CAR), ILOCOS SUR (Region 1), LAGUNA (Region 4-A), NUEVA ECIJA (Region 3), PALAWAN (Region 4-B), PAMPANGA (Region 3), PANGASINAN (Region 1), ROMBLON (Region 4-B), SORSOGON (Region 5), TARLAC (Region 3)","Region 5 (3), Region 3 (3), Region 4-A (2), CAR (2), Region 1 (2), Region 4-B (2), Region 6 (1)",0.9751363232302465,0.4556018061248101,19.917579938317264,0.7972114066541124,-0.3203378184726542,-0.1838464031189429,0.5180056963585568,9.759999999999998,5.0277386818554834,0.7170403825105873,Bikol/Bicol,3/15,"ALBAY (Bikol/Bicol), ANTIQUE (Karay-a), BATANGAS (Tagalog), BENGUET (Kankanaey), CATANDUANES (Bikol/Bicol), IFUGAO (Tuwali), ILOCOS SUR (Ilocano), LAGUNA (Tagalog), NUEVA ECIJA (Tagalog), PALAWAN (Cuyonen/ Cuyunon), PAMPANGA (Kapampangan), PANGASINAN (Pangasinan), ROMBLON (Romblomanon), SORSOGON (Bikol/Bicol), TARLAC (Kapampangan)"
3,19,"AKLAN, APAYAO, AURORA, BILIRAN, BULACAN, CAMIGUIN, CAVITE, COMPOSTELA VALLEY, DAVAO (DAVAO DEL NORTE), DINAGAT ISLANDS, GUIMARAS, KALINGA, NATIONAL CAPITAL REGION - THIRD DISTRICT, NUEVA VIZCAYA, RIZAL, SARANGANI, SIQUIJOR, SOUTH COTABATO, SURIGAO DEL SUR","AKLAN (Region 6), APAYAO (CAR), AURORA (Region 3), BILIRAN (Region 8), BULACAN (Region 3), CAMIGUIN (Region 10), CAVITE (Region 4-A), COMPOSTELA VALLEY (Region 11), DAVAO (DAVAO DEL NORTE) (Region 11), DINAGAT ISLANDS (Region 13), GUIMARAS (Region 6), KALINGA (CAR), NATIONAL CAPITAL REGION - THIRD DISTRICT (NCR), NUEVA VIZCAYA (Region 2), RIZAL (Region 4-A), SARANGANI (Region 12), SIQUIJOR (Region 7), SOUTH COTABATO (Region 12), SURIGAO DEL SUR (Region 13)","Region 6 (2), CAR (2), Region 3 (2), Region 4-A (2), Region 11 (2), Region 13 (2), Region 12 (2), Region 8 (1), Region 10 (1), NCR (1), Region 2 (1), Region 7 (1)",0.9636195566436515,0.7356697891320158,11.345830387477095,0.03858592825845468,-0.23526813657010912,-0.7499168913888624,0.6034376782145541,12.636842105263156,5.3959671710213994,0.7687586504381999,Bisaya/ Binisaya,6/19,"AKLAN (Other Local Ethnicity), APAYAO (Ilocano), AURORA (Tagalog), BILIRAN (Bisaya/ Binisaya), BULACAN (Tagalog), CAMIGUIN (Cebuano), CAVITE (Tagalog), COMPOSTELA VALLEY (Bisaya/ Binisaya), DAVAO (DAVAO DEL NORTE) (Bisaya/ Binisaya), DINAGAT ISLANDS (Bisaya/ Binisaya), GUIMARAS (Ilonggo), KALINGA (Ilocano), NATIONAL CAPITAL REGION - THIRD DISTRICT (Tagalog), NUEVA VIZCAYA (Ilocano), RIZAL (Tagalog), SARANGANI (Blaan), SIQUIJOR (Bisaya/ Binisaya), SOUTH COTABATO (Ilonggo), SURIGAO DEL SUR (Bisaya/ Binisaya)"
4,1,BASILAN,BASILAN (BARMM),BARMM (1),0.9436883871292514,5.129861619082024,34.244279623897185,-1.2743080072187092,1.0994524451216297,0.7622757202832533,0.6230245790730048,66.3,5.69915818895909,0.732576478300172,Tausog/ Tausug,1/1,BASILAN (Tausog/ Tausug)
5,24,"AURORA, BATAAN, BATANES, BULACAN, CAMARINES NORTE, CAMIGUIN, CATANDUANES, CAVITE, COMPOSTELA VALLEY, DAVAO ORIENTAL, DINAGAT ISLANDS, GUIMARAS, KALINGA, LA UNION, MARINDUQUE, MOUNTAIN PROVINCE, NATIONAL CAPITAL REGION - FOURTH DISTRICT, NATIONAL CAPITAL REGION - SECOND DISTRICT, NATIONAL CAPITAL REGION - THIRD DISTRICT, QUIRINO, RIZAL, ROMBLON, SOUTH COTABATO, ZAMBALES","AURORA (Region 3), BATAAN (Region 3), BATANES (Region 2), BULACAN (Region 3), CAMARINES NORTE (Region 5), CAMIGUIN (Region 10), CATANDUANES (Region 5), CAVITE (Region 4-A), COMPOSTELA VALLEY (Region 11), DAVAO ORIENTAL (Region 11), DINAGAT ISLANDS (Region 13), GUIMARAS (Region 6), KALINGA (CAR), LA UNION (Region 1), MARINDUQUE (Region 4-B), MOUNTAIN PROVINCE (CAR), NATIONAL CAPITAL REGION - FOURTH DISTRICT (NCR), NATIONAL CAPITAL REGION - SECOND DISTRICT (NCR), NATIONAL CAPITAL REGION - THIRD DISTRICT (NCR), QUIRINO (Region 2), RIZAL (Region 4-A), ROMBLON (Region 4-B), SOUTH COTABATO (Region 12), ZAMBALES (Region 3)","Region 3 (4), NCR (3), Region 2 (2), Region 5 (2), Region 4-A (2), Region 11 (2), CAR (2), Region 4-B (2), Region 10 (1), Region 13 (1), Region 6 (1), Region 1 (1), Region 12 (1)",0.9693424207721554,0.540667449904644,10.26945291868776,0.415558970529973,-0.294499423167756,-0.8209998734226289,0.5663089757495944,11.066666666666668,5.405870448953397,0.7600554991728212,Tagalog,10/24,"AURORA (Tagalog), BATAAN (Tagalog), BATANES (Ivatan), BULACAN (Tagalog), CAMARINES NORTE (Bikol/Bicol), CAMIGUIN (Cebuano), CATANDUANES (Bikol/Bicol), CAVITE (Tagalog), COMPOSTELA VALLEY (Bisaya/ Binisaya), DAVAO ORIENTAL (Mandaya), DINAGAT ISLANDS (Bisaya/ Binisaya), GUIMARAS (Ilonggo), KALINGA (Ilocano), LA UNION (Ilocano), MARINDUQUE (Tagalog), MOUNTAIN PROVINCE (Kankanaey), NATIONAL CAPITAL REGION - FOURTH DISTRICT (Tagalog), NATIONAL CAPITAL REGION - SECOND DISTRICT (Tagalog), NATIONAL CAPITAL REGION - THIRD DISTRICT (Tagalog), QUIRINO (Ilocano), RIZAL (Tagalog), ROMBLON (Romblomanon), SOUTH COTABATO (Ilonggo), ZAMBALES (Tagalog)"
6,9,"BOHOL, CAMARINES SUR, ILOILO, ISABELA, MASBATE, NEGROS OCCIDENTAL, NEGROS ORIENTAL, NORTHERN SAMAR, QUEZON","BOHOL (Region 7), CAMARINES SUR (Region 5), ILOILO (Region 6), ISABELA (Region 2), MASBATE (Region 5), NEGROS OCCIDENTAL (Region 6), NEGROS ORIENTAL (Region 7), NORTHERN SAMAR (Region 8), QUEZON (Region 4-A)","Region 7 (2), Region 5 (2), Region 6 (2), Region 2 (1), Region 8 (1), Region 4-A (1)",0.9704166038690839,0.753870296372498,35.54868411140868,0.48631690937197597,-0.22973979539812672,0.8484173977515052,0.5011704079981453,17.6,4.62670755746063,0.7335261094207639,Ilonggo,2/9,"BOHOL (Boholano), CAMARINES SUR (Bikol/Bicol), ILOILO (Ilonggo), ISABELA (Ilocano), MASBATE (Masbateño/ Masbatenon), NEGROS OCCIDENTAL (Ilonggo), NEGROS ORIENTAL (Bisaya/ Binisaya), NORTHERN SAMAR (Waray), QUEZON (Tagalog)"
7,17,"ANTIQUE, BENGUET, CAGAYAN, EASTERN SAMAR, ILOCOS SUR, ISABELA, LA UNION, NEGROS OCCIDENTAL, NEGROS ORIENTAL, NORTHERN SAMAR, NUEVA ECIJA, ORIENTAL MINDORO, PALAWAN, PAMPANGA, SORSOGON, SOUTHERN LEYTE, SULTAN KUDARAT","ANTIQUE (Region 6), BENGUET (CAR), CAGAYAN (Region 2), EASTERN SAMAR (Region 8), ILOCOS SUR (Region 1), ISABELA (Region 2), LA UNION (Region 1), NEGROS OCCIDENTAL (Region 6), NEGROS ORIENTAL (Region 7), NORTHERN SAMAR (Region 8), NUEVA ECIJA (Region 3), ORIENTAL MINDORO (Region 4-B), PALAWAN (Region 4-B), PAMPANGA (Region 3), SORSOGON (Region 5), SOUTHERN LEYTE (Region 8), SULTAN KUDARAT (Region 12)","Region 8 (3), Region 6 (2), Region 2 (2), Region 1 (2), Region 3 (2), Region 4-B (2), CAR (1), Region 7 (1), Region 5 (1), Region 12 (1)",0.9689482492227047,0.7657116888054075,24.86153313171426,0.38959434078570526,-0.22614301337136827,0.14264773691289612,0.5561512143931319,14.058823529411764,5.0170991905207,0.7404914413006631,Ilocano,4/17,"ANTIQUE (Karay-a), BENGUET (Kankanaey), CAGAYAN (Ilocano), EASTERN SAMAR (Waray), ILOCOS SUR (Ilocano), ISABELA (Ilocano), LA UNION (Ilocano), NEGROS OCCIDENTAL (Ilonggo), NEGROS ORIENTAL (Bisaya/ Binisaya), NORTHERN SAMAR (Waray), NUEVA ECIJA (Tagalog), ORIENTAL MINDORO (Tagalog), PALAWAN (Cuyonen/ Cuyunon), PAMPANGA (Kapampangan), SORSOGON (Bikol/Bicol), SOUTHERN LEYTE (Bisaya/ Binisaya), SULTAN KUDARAT (Ilonggo)"
8,4,"CEBU, ILOILO, MASBATE, MISAMIS OCCIDENTAL","CEBU (Region 7), ILOILO (Region 6), MASBATE (Region 5), MISAMIS OCCIDENTAL (Region 10)","Region 7 (1), Region 6 (1), Region 5 (1), Region 10 (1)",0.9655457994754195,1.1920233985858135,40.641903195376685,0.165470230268814,-0.0966523048907199,1.1847689204630907,0.5814654629399454,17.175,4.621476245255383,0.739037667543133,Bisaya/ Binisaya,1/4,"CEBU (Cebuano), ILOILO (Ilonggo), MASBATE (Masbateño/ Masbatenon), MISAMIS OCCIDENTAL (Bisaya/ Binisaya)"
9,1,COTABATO (NORTH COT.),COTABATO (NORTH COT.) (Region 12),Region 12 (1),0.9417429027407831,2.156632856066768,33.86471775648289,-1.4024597774066132,0.19634448405669827,0.7372098022531595,0.6564732617024789,23.6,4.60492215473488,0.81371148971547,Ilonggo,1/1,COTABATO (NORTH COT.) (Ilonggo)
