Province,Original Points,Points Removed,Points Remaining,% Removed
DAVAO OCCIDENTAL,107,2,105,1.8691588785046727
CAMIGUIN,56,1,55,1.7857142857142856
AURORA,122,2,120,1.639344262295082
BILIRAN,122,2,120,1.639344262295082
APAYAO,123,2,121,1.6260162601626018
SIQUIJOR,132,2,130,1.5151515151515151
IFUGAO,202,3,199,1.4851485148514851
QUIRINO,136,2,134,1.4705882352941175
ROMBLON,214,3,211,1.4018691588785046
LANAO DEL SUR,215,3,212,1.3953488372093024
BASILAN,219,3,216,1.36986301369863
RIZAL,305,4,301,1.3114754098360655
SURIGAO DEL NORTE,311,4,307,1.2861736334405145
ZAMBALES,235,3,232,1.276595744680851
NATIONAL CAPITAL REGION - THIRD DISTRICT,158,2,156,1.2658227848101267
AGUSAN DEL NORTE,240,3,237,1.25
DAVAO ORIENTAL,242,3,239,1.2396694214876034
SOUTH COTABATO,325,4,321,1.2307692307692308
CATANDUANES,245,3,242,1.2244897959183674
LA UNION,409,5,404,1.2224938875305624
AKLAN,328,4,324,1.2195121951219512
LANAO DEL NORTE,414,5,409,1.2077294685990339
CAMARINES NORTE,249,3,246,1.2048192771084338
CAVITE,417,5,412,1.1990407673860912
BATAAN,167,2,165,1.1976047904191618
DAVAO DEL SUR,507,6,501,1.183431952662722
ABRA,254,3,251,1.1811023622047243
NATIONAL CAPITAL REGION - FOURTH DISTRICT,170,2,168,1.1764705882352942
ORIENTAL MINDORO,426,5,421,1.1737089201877933
AGUSAN DEL SUR,342,4,338,1.1695906432748537
PALAWAN,513,6,507,1.1695906432748537
EASTERN SAMAR,432,5,427,1.1574074074074074
SURIGAO DEL SUR,346,4,342,1.1560693641618496
ANTIQUE,520,6,514,1.153846153846154
NATIONAL CAPITAL REGION - SECOND DISTRICT,260,3,257,1.153846153846154
MASBATE,532,6,526,1.1278195488721803
PAMPANGA,533,6,527,1.125703564727955
GUIMARAS,89,1,88,1.1235955056179776
NEGROS ORIENTAL,535,6,529,1.1214953271028036
BUKIDNON,535,6,529,1.1214953271028036
TAWI-TAWI,179,2,177,1.1173184357541899
SULU,91,1,90,1.098901098901099
DAVAO (DAVAO DEL NORTE),273,3,270,1.098901098901099
ISABELA,913,10,903,1.095290251916758
OCCIDENTAL MINDORO,184,2,182,1.0869565217391304
NUEVA ECIJA,737,8,729,1.0854816824966078
NEGROS OCCIDENTAL,739,8,731,1.0825439783491204
CAPIZ,464,5,459,1.0775862068965518
MISAMIS ORIENTAL,464,5,459,1.0775862068965518
BULACAN,558,6,552,1.0752688172043012
MISAMIS OCCIDENTAL,465,5,460,1.0752688172043012
ZAMBOANGA DEL NORTE,656,7,649,1.0670731707317074
SOUTHERN LEYTE,469,5,464,1.0660980810234542
ILOCOS SUR,564,6,558,1.0638297872340425
LAGUNA,470,5,465,1.0638297872340425
ILOILO,1410,15,1395,1.0638297872340425
NORTHERN SAMAR,471,5,466,1.0615711252653928
SAMAR (WESTERN SAMAR),854,9,845,1.053864168618267
DINAGAT ISLANDS,95,1,94,1.0526315789473684
CAMARINES SUR,953,10,943,1.049317943336831
COMPOSTELA VALLEY,286,3,283,1.048951048951049
COTABATO (NORTH COT.),572,6,566,1.048951048951049
MOUNTAIN PROVINCE,191,2,189,1.0471204188481675
TARLAC,480,5,475,1.0416666666666665
MAGUINDANAO,480,5,475,1.0416666666666665
MARINDUQUE,193,2,191,1.0362694300518136
BOHOL,1064,11,1053,1.0338345864661653
SORSOGON,485,5,480,1.0309278350515463
BENGUET,389,4,385,1.0282776349614395
SULTAN KUDARAT,294,3,291,1.0204081632653061
ZAMBOANGA SIBUGAY,392,4,388,1.0204081632653061
LEYTE,1376,14,1362,1.0174418604651163
NUEVA VIZCAYA,295,3,292,1.0169491525423728
KALINGA,197,2,195,1.015228426395939
CEBU,1182,12,1170,1.015228426395939
ILOCOS NORTE,395,4,391,1.0126582278481013
ALBAY,594,6,588,1.0101010101010102
ZAMBOANGA DEL SUR,792,8,784,1.0101010101010102
CAGAYAN,697,7,690,1.0043041606886656
PANGASINAN,1195,12,1183,1.00418410041841
SARANGANI,200,2,198,1.0
BATANGAS,900,9,891,1.0
NATIONAL CAPITAL REGION - MANILA,100,1,99,1.0
QUEZON,1101,11,1090,0.9990917347865577
BATANES,21,0,21,0.0
TAGUIG - PATEROS,34,0,34,0.0
