Node ID,No. Provinces,Provinces Included,Provinces (Region),No. of Provinces in each Region,Mean Entropy (Raw),Mean L2 Norm (Raw),Mean Total Persistence (Raw),Mean Entropy (Scaled),Mean L2 Norm (Scaled),Mean Total Persistence (Scaled),Mean Admin Vote Share,Mean 2015 Poverty Incidence,Mean HHI,Mean GINI,Majority Dominant Dialect,Major Dialect Ratio,Provinces (Dialect)
0,21,"ABRA, ANTIQUE, BENGUET, CAVITE, COMPOSTELA VALLEY, DAVAO (DAVAO DEL NORTE), DAVAO OCCIDENTAL, DAVAO ORIENTAL, GUIMARAS, KALINGA, LA UNION, MISAMIS ORIENTAL, NUEVA VIZCAYA, OCCIDENTAL MINDORO, PAMPANGA, QUIRINO, RIZAL, SARANGANI, SOUTH COTABATO, SULTAN KUDARAT, SURIGAO DEL SUR","ABRA (CAR), ANTIQUE (Region 6), BENGUET (CAR), CAVITE (Region 4-A), COMPOSTELA VALLEY (Region 11), DAVAO (DAVAO DEL NORTE) (Region 11), DAVAO OCCIDENTAL (Region 11), DAVAO ORIENTAL (Region 11), GUIMARAS (Region 6), KALINGA (CAR), LA UNION (Region 1), MISAMIS ORIENTAL (Region 10), NUEVA VIZCAYA (Region 2), OCCIDENTAL MINDORO (Region 4-B), PAMPANGA (Region 3), QUIRINO (Region 2), RIZAL (Region 4-A), SARANGANI (Region 12), SOUTH COTABATO (Region 12), SULTAN KUDARAT (Region 12), SURIGAO DEL SUR (Region 13)","Region 11 (4), CAR (3), Region 12 (3), Region 6 (2), Region 4-A (2), Region 2 (2), Region 1 (1), Region 10 (1), Region 4-B (1), Region 3 (1), Region 13 (1)",0.9636280816459545,0.9368517921378581,13.03023148352158,0.13804599976193543,-0.2903797998697735,-0.4981695620711926,0.42497681620627814,20.042857142857144,5.174715663811618,0.7685238983129958,Ilocano,5/21,"ABRA (Ilocano), ANTIQUE (Karay-a), BENGUET (Kankanaey), CAVITE (Tagalog), COMPOSTELA VALLEY (Bisaya/ Binisaya), DAVAO (DAVAO DEL NORTE) (Bisaya/ Binisaya), DAVAO OCCIDENTAL (Tagakaulo), DAVAO ORIENTAL (Mandaya), GUIMARAS (Ilonggo), KALINGA (Ilocano), LA UNION (Ilocano), MISAMIS ORIENTAL (Bisaya/ Binisaya), NUEVA VIZCAYA (Ilocano), OCCIDENTAL MINDORO (Tagalog), PAMPANGA (Kapampangan), QUIRINO (Ilocano), RIZAL (Tagalog), SARANGANI (Blaan), SOUTH COTABATO (Ilonggo), SULTAN KUDARAT (Ilonggo), SURIGAO DEL SUR (Bisaya/ Binisaya)"
1,7,"AGUSAN DEL NORTE, AGUSAN DEL SUR, NUEVA VIZCAYA, ORIENTAL MINDORO, PAMPANGA, SIQUIJOR, SURIGAO DEL SUR","AGUSAN DEL NORTE (Region 13), AGUSAN DEL SUR (Region 13), NUEVA VIZCAYA (Region 2), ORIENTAL MINDORO (Region 4-B), PAMPANGA (Region 3), SIQUIJOR (Region 7), SURIGAO DEL SUR (Region 13)","Region 13 (3), Region 2 (1), Region 4-B (1), Region 3 (1), Region 7 (1)",0.9532164952726034,1.4779091676806753,15.43292230007482,-0.5589821429747394,-0.07506127350253458,-0.33312592058900786,0.4676662651818987,24.442857142857147,5.270400170889819,0.7462735863724665,Bisaya/ Binisaya,3/7,"AGUSAN DEL NORTE (Bisaya/ Binisaya), AGUSAN DEL SUR (Manobo), NUEVA VIZCAYA (Ilocano), ORIENTAL MINDORO (Tagalog), PAMPANGA (Kapampangan), SIQUIJOR (Bisaya/ Binisaya), SURIGAO DEL SUR (Bisaya/ Binisaya)"
2,23,"AKLAN, ALBAY, APAYAO, BULACAN, CAMARINES NORTE, CATANDUANES, CAVITE, DAVAO OCCIDENTAL, DAVAO ORIENTAL, DINAGAT ISLANDS, IFUGAO, ILOCOS NORTE, ILOCOS SUR, LA UNION, LAGUNA, MARINDUQUE, MOUNTAIN PROVINCE, NUEVA ECIJA, PANGASINAN, ROMBLON, SORSOGON, SOUTH COTABATO, TARLAC","AKLAN (Region 6), ALBAY (Region 5), APAYAO (CAR), BULACAN (Region 3), CAMARINES NORTE (Region 5), CATANDUANES (Region 5), CAVITE (Region 4-A), DAVAO OCCIDENTAL (Region 11), DAVAO ORIENTAL (Region 11), DINAGAT ISLANDS (Region 13), IFUGAO (CAR), ILOCOS NORTE (Region 1), ILOCOS SUR (Region 1), LA UNION (Region 1), LAGUNA (Region 4-A), MARINDUQUE (Region 4-B), MOUNTAIN PROVINCE (CAR), NUEVA ECIJA (Region 3), PANGASINAN (Region 1), ROMBLON (Region 4-B), SORSOGON (Region 5), SOUTH COTABATO (Region 12), TARLAC (Region 3)","Region 5 (4), Region 1 (4), CAR (3), Region 3 (3), Region 4-A (2), Region 11 (2), Region 4-B (2), Region 6 (1), Region 13 (1), Region 12 (1)",0.9730728539841147,0.600581244245736,13.632165798519267,0.7703485025091616,-0.4242016126861961,-0.4568219901756054,0.43058935487019784,21.304347826086957,5.154182893422737,0.7422068122954013,Tagalog,5/23,"AKLAN (Other Local Ethnicity), ALBAY (Bikol/Bicol), APAYAO (Ilocano), BULACAN (Tagalog), CAMARINES NORTE (Bikol/Bicol), CATANDUANES (Bikol/Bicol), CAVITE (Tagalog), DAVAO OCCIDENTAL (Tagakaulo), DAVAO ORIENTAL (Mandaya), DINAGAT ISLANDS (Bisaya/ Binisaya), IFUGAO (Tuwali), ILOCOS NORTE (Ilocano), ILOCOS SUR (Ilocano), LA UNION (Ilocano), LAGUNA (Tagalog), MARINDUQUE (Tagalog), MOUNTAIN PROVINCE (Kankanaey), NUEVA ECIJA (Tagalog), PANGASINAN (Pangasinan), ROMBLON (Romblomanon), SORSOGON (Bikol/Bicol), SOUTH COTABATO (Ilonggo), TARLAC (Kapampangan)"
3,26,"APAYAO, AURORA, BILIRAN, CAMARINES NORTE, CAMIGUIN, CATANDUANES, CAVITE, DAVAO (DAVAO DEL NORTE), DAVAO OCCIDENTAL, DAVAO ORIENTAL, DINAGAT ISLANDS, GUIMARAS, KALINGA, LAGUNA, MARINDUQUE, MOUNTAIN PROVINCE, NATIONAL CAPITAL REGION - FOURTH DISTRICT, NATIONAL CAPITAL REGION - MANILA, NATIONAL CAPITAL REGION - SECOND DISTRICT, NATIONAL CAPITAL REGION - THIRD DISTRICT, RIZAL, ROMBLON, SORSOGON, SOUTH COTABATO, TARLAC, ZAMBALES","APAYAO (CAR), AURORA (Region 3), BILIRAN (Region 8), CAMARINES NORTE (Region 5), CAMIGUIN (Region 10), CATANDUANES (Region 5), CAVITE (Region 4-A), DAVAO (DAVAO DEL NORTE) (Region 11), DAVAO OCCIDENTAL (Region 11), DAVAO ORIENTAL (Region 11), DINAGAT ISLANDS (Region 13), GUIMARAS (Region 6), KALINGA (CAR), LAGUNA (Region 4-A), MARINDUQUE (Region 4-B), MOUNTAIN PROVINCE (CAR), NATIONAL CAPITAL REGION - FOURTH DISTRICT (NCR), NATIONAL CAPITAL REGION - MANILA (NCR), NATIONAL CAPITAL REGION - SECOND DISTRICT (NCR), NATIONAL CAPITAL REGION - THIRD DISTRICT (NCR), RIZAL (Region 4-A), ROMBLON (Region 4-B), SORSOGON (Region 5), SOUTH COTABATO (Region 12), TARLAC (Region 3), ZAMBALES (Region 3)","NCR (4), CAR (3), Region 3 (3), Region 5 (3), Region 4-A (3), Region 11 (3), Region 4-B (2), Region 8 (1), Region 10 (1), Region 13 (1), Region 6 (1), Region 12 (1)",0.9706160285333609,0.574264566591054,8.86693200401216,0.6058705430936482,-0.43467456529275267,-0.7841514711646111,0.43215019298031615,20.342307692307692,5.290178760148008,0.7748377001934851,Tagalog,10/26,"APAYAO (Ilocano), AURORA (Tagalog), BILIRAN (Bisaya/ Binisaya), CAMARINES NORTE (Bikol/Bicol), CAMIGUIN (Cebuano), CATANDUANES (Bikol/Bicol), CAVITE (Tagalog), DAVAO (DAVAO DEL NORTE) (Bisaya/ Binisaya), DAVAO OCCIDENTAL (Tagakaulo), DAVAO ORIENTAL (Mandaya), DINAGAT ISLANDS (Bisaya/ Binisaya), GUIMARAS (Ilonggo), KALINGA (Ilocano), LAGUNA (Tagalog), MARINDUQUE (Tagalog), MOUNTAIN PROVINCE (Kankanaey), NATIONAL CAPITAL REGION - FOURTH DISTRICT (Tagalog), NATIONAL CAPITAL REGION - MANILA (Tagalog), NATIONAL CAPITAL REGION - SECOND DISTRICT (Tagalog), NATIONAL CAPITAL REGION - THIRD DISTRICT (Tagalog), RIZAL (Tagalog), ROMBLON (Romblomanon), SORSOGON (Bikol/Bicol), SOUTH COTABATO (Ilonggo), TARLAC (Kapampangan), ZAMBALES (Tagalog)"
4,1,BASILAN,BASILAN (ARMM),ARMM (1),0.9193479653349571,17.242072406106104,51.064288800126576,-2.8263905544425056,6.198425700970379,2.1144343054874497,0.35269808667630514,22.2,5.46390713175534,0.698177297150906,Yakan,1/1,BASILAN (Yakan)
5,9,"BATAAN, CAMIGUIN, COMPOSTELA VALLEY, DAVAO (DAVAO DEL NORTE), GUIMARAS, KALINGA, NUEVA VIZCAYA, QUIRINO, RIZAL","BATAAN (Region 3), CAMIGUIN (Region 10), COMPOSTELA VALLEY (Region 11), DAVAO (DAVAO DEL NORTE) (Region 11), GUIMARAS (Region 6), KALINGA (CAR), NUEVA VIZCAYA (Region 2), QUIRINO (Region 2), RIZAL (Region 4-A)","Region 11 (2), Region 2 (2), Region 3 (1), Region 10 (1), Region 6 (1), CAR (1), Region 4-A (1)",0.9620055932665791,0.7361867136988609,8.351998208682126,0.029424698345057492,-0.37023622718398175,-0.8195228756407925,0.4521367030559486,17.111111111111107,5.417156134075362,0.7926212626705795,Ilocano,3/9,"BATAAN (Tagalog), CAMIGUIN (Cebuano), COMPOSTELA VALLEY (Bisaya/ Binisaya), DAVAO (DAVAO DEL NORTE) (Bisaya/ Binisaya), GUIMARAS (Ilonggo), KALINGA (Ilocano), NUEVA VIZCAYA (Ilocano), QUIRINO (Ilocano), RIZAL (Tagalog)"
6,2,"BATANES, TAGUIG - PATEROS","BATANES (Region 2), TAGUIG - PATEROS (NCR)","Region 2 (1), NCR (1)",0.9284650494277464,1.2494309031006017,2.2756040302986498,-2.2160259121592967,-0.16598620209623494,-1.2369174964435712,0.48190322309173256,6.55,5.830442424904476,0.682319959015633,Ivatan,1/2,"BATANES (Ivatan), TAGUIG - PATEROS (Tagalog)"
7,12,"ANTIQUE, BATANGAS, BOHOL, BUKIDNON, CAPIZ, ILOCOS SUR, MASBATE, NEGROS OCCIDENTAL, PALAWAN, PANGASINAN, SOUTHERN LEYTE, ZAMBOANGA DEL SUR","ANTIQUE (Region 6), BATANGAS (Region 4-A), BOHOL (Region 7), BUKIDNON (Region 10), CAPIZ (Region 6), ILOCOS SUR (Region 1), MASBATE (Region 5), NEGROS OCCIDENTAL (NIR), PALAWAN (Region 4-B), PANGASINAN (Region 1), SOUTHERN LEYTE (Region 8), ZAMBOANGA DEL SUR (Region 9)","Region 6 (2), Region 1 (2), Region 4-A (1), Region 7 (1), Region 10 (1), Region 5 (1), NIR (1), Region 4-B (1), Region 8 (1), Region 9 (1)",0.968999873164332,0.9441342312351719,27.078093817469597,0.49767321995263053,-0.2874816893815473,0.4667945268003029,0.4473715941038825,22.374999999999996,4.9657833927212796,0.7379566858928289,Bisaya/ Binisaya,2/12,"ANTIQUE (Karay-a), BATANGAS (Tagalog), BOHOL (Boholano), BUKIDNON (Cebuano), CAPIZ (Capizeño), ILOCOS SUR (Ilocano), MASBATE (Masbateño/ Masbatenon), NEGROS OCCIDENTAL (Ilonggo), PALAWAN (Cuyonen/ Cuyunon), PANGASINAN (Pangasinan), SOUTHERN LEYTE (Bisaya/ Binisaya), ZAMBOANGA DEL SUR (Bisaya/ Binisaya)"
8,11,"ANTIQUE, CAGAYAN, CAPIZ, DAVAO DEL SUR, EASTERN SAMAR, ISABELA, MISAMIS ORIENTAL, NEGROS ORIENTAL, SOUTHERN LEYTE, SULTAN KUDARAT, ZAMBOANGA SIBUGAY","ANTIQUE (Region 6), CAGAYAN (Region 2), CAPIZ (Region 6), DAVAO DEL SUR (Region 11), EASTERN SAMAR (Region 8), ISABELA (Region 2), MISAMIS ORIENTAL (Region 10), NEGROS ORIENTAL (NIR), SOUTHERN LEYTE (Region 8), SULTAN KUDARAT (Region 12), ZAMBOANGA SIBUGAY (Region 9)","Region 6 (2), Region 2 (2), Region 8 (2), Region 11 (1), Region 10 (1), NIR (1), Region 12 (1), Region 9 (1)",0.9600548441793809,1.4471376974020427,23.78355496503673,-0.1011727883814066,-0.0873070498915936,0.24048880095993797,0.4444648847556474,23.936363636363637,5.0539152248207015,0.7500524090010651,Bisaya/ Binisaya,5/11,"ANTIQUE (Karay-a), CAGAYAN (Ilocano), CAPIZ (Capizeño), DAVAO DEL SUR (Bisaya/ Binisaya), EASTERN SAMAR (Waray), ISABELA (Ilocano), MISAMIS ORIENTAL (Bisaya/ Binisaya), NEGROS ORIENTAL (Bisaya/ Binisaya), SOUTHERN LEYTE (Bisaya/ Binisaya), SULTAN KUDARAT (Ilonggo), ZAMBOANGA SIBUGAY (Bisaya/ Binisaya)"
9,6,"BOHOL, CAMARINES SUR, ILOILO, NEGROS OCCIDENTAL, QUEZON, ZAMBOANGA DEL SUR","BOHOL (Region 7), CAMARINES SUR (Region 5), ILOILO (Region 6), NEGROS OCCIDENTAL (NIR), QUEZON (Region 4-A), ZAMBOANGA DEL SUR (Region 9)","Region 7 (1), Region 5 (1), Region 6 (1), NIR (1), Region 4-A (1), Region 9 (1)",0.970200742713291,0.8639376117519325,35.66858509393254,0.5780682569205156,-0.3193966372360911,1.0568854168226356,0.4584155162628958,22.150000000000002,4.527132771173286,0.7555074946210559,Ilonggo,2/6,"BOHOL (Boholano), CAMARINES SUR (Bikol/Bicol), ILOILO (Ilonggo), NEGROS OCCIDENTAL (Ilonggo), QUEZON (Tagalog), ZAMBOANGA DEL SUR (Bisaya/ Binisaya)"
