,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANNUAL REGULAR INCOME AND DEPENDENCIES,,,,,,,,,,,,,,,,,,,,,,,,,,,
by LGU,,,,,,,,,,,,,,,,,,,,,,,,,,,
FY 2019 (Final),,,,,,,,,,,,,,,,,,,,,,,,,,,
In Php Million,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
REGION,PROVINCE,LGU NAME,LGU TYPE,INCOME CLASS,LOCALLY SOURCED REVENUE (LSR),,,,,,,,,INTEREST INCOME,INTERNAL REVENUE ALLOTMENT (IRA),OTHER SHARES FROM NATIONAL TAX COLLECTION,,,,,,,ANNUAL REGULAR INCOME (ARI),LSR DEPENDENCY,IRA DEPENDENCY,OTHER SHARES FROM NATIONAL TAX DEPENDENCY,
,,,,,TAX REVENUE,,,,NON-TAX REVENUE,,,,TOTAL LOCALLY - SOURCED REVENUE (LSR),,,"Share From Economic Zone 
(RA 7227)",Share From EVAT,Share From National Wealth,Share From Pagcor/PCSO/Lotto,Share From Tobacco Excise Tax (RA 7171),Others,TOTAL OTHER SHARES FROM NATIONAL TAX COLLECTION,,,,,
,,,,,"Real Property Tax 
(General Fund)",Tax On Business,Other Taxes,Total Tax Revenue,Regulatory Fees,Service/User Charges,Receipts From Economic Enterprises,Total Non-Tax Revenue,,,,,,,,,,,,,,,
,,,,,,,,,,,,,a,,b,,,,,,,c,d,e = a / d,f = b / d,g = c / d,
Region II,Cagayan,Rizal,Municipality,5th,0.21,0.09,0.13,0.44,1.27,0.86,0.00,2.12,2.56,0.02,82.91,0.00,0.00,0.00,0.00,0.00,0.00,0.00,85.49,3.0%,97.0%,0.0%,
Region II,Cagayan,Sanchez Mira,Municipality,3rd,1.55,6.02,0.34,7.91,2.76,1.62,4.50,8.88,16.79,0.32,105.81,0.00,0.00,0.00,0.08,0.00,0.02,0.10,123.02,13.7%,86.0%,0.1%,
Region II,Cagayan,Santa Ana,Municipality,2nd,1.82,4.98,0.61,7.41,3.62,2.03,8.83,14.48,21.89,0.11,159.22,0.00,0.00,0.00,0.04,0.00,0.00,0.04,181.26,12.1%,87.8%,0.0%,
Region II,Cagayan,Santa Praxedes,Municipality,5th,0.20,0.40,0.07,0.67,0.17,0.15,1.71,2.03,2.70,0.00,57.91,0.00,0.00,0.00,0.00,0.00,0.00,0.00,60.61,4.5%,95.5%,0.0%,
Region II,Cagayan,Santa Teresita,Municipality,4th,0.77,3.70,0.45,4.92,1.46,1.46,4.72,7.64,12.56,0.02,91.60,0.00,0.00,0.00,0.02,0.00,0.00,0.02,104.19,12.1%,87.9%,0.0%,
Region II,Cagayan,Santo Niño,Municipality,2nd,0.24,0.59,0.19,1.03,0.57,0.78,0.00,1.35,2.37,0.00,161.64,0.00,0.00,0.00,0.00,0.00,0.00,0.00,164.02,1.4%,98.6%,0.0%,
Region II,Cagayan,Solana,Municipality,1st,1.70,7.51,0.66,9.86,5.48,3.05,6.41,14.94,24.80,0.10,206.49,0.00,0.00,0.00,0.74,8.47,0.00,9.21,240.61,10.3%,85.8%,3.8%,
Region II,Cagayan,Tuao,Municipality,1st,1.14,9.30,1.08,11.51,0.93,1.48,10.86,13.28,24.79,0.00,169.06,0.00,0.00,0.00,0.00,0.00,0.00,0.00,193.85,12.8%,87.2%,0.0%,
Region II,Isabela,Alicia,Municipality,1st,10.02,26.18,1.05,37.26,9.46,16.33,0.00,25.80,63.05,0.18,175.32,0.00,0.00,0.00,0.00,0.00,0.00,0.00,238.54,26.4%,73.5%,0.0%,
Region II,Isabela,Angadanan,Municipality,3rd,1.04,1.28,0.85,3.18,2.49,5.85,0.00,8.35,11.52,0.04,137.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,148.59,7.8%,92.2%,0.0%,
Region II,Isabela,Aurora,Municipality,3rd,1.73,7.24,0.56,9.53,3.46,7.42,0.00,10.88,20.42,0.23,109.31,0.00,0.00,0.00,0.00,199.80,0.00,199.80,329.76,6.2%,33.1%,60.6%,
Region II,Isabela,Benito Soliven,Municipality,4th,0.65,1.98,0.45,3.08,1.49,1.92,0.00,3.42,6.50,0.00,111.77,0.00,0.00,0.00,0.07,0.00,0.02,0.09,118.35,5.5%,94.4%,0.1%,
Region II,Isabela,Burgos,Municipality,4th,0.90,1.08,0.20,2.19,2.67,0.77,0.00,3.43,5.62,0.00,83.98,0.00,0.00,0.00,0.00,19.83,0.00,19.83,109.44,5.1%,76.7%,18.1%,
Region II,Isabela,Cabagan,Municipality,1st,1.64,7.78,0.52,9.94,1.86,3.33,4.75,9.94,19.88,0.00,185.68,0.00,0.00,0.00,0.00,0.00,0.00,0.00,205.56,9.7%,90.3%,0.0%,
Region II,Isabela,Cabatuan,Municipality,3rd,2.60,5.92,0.69,9.20,3.51,1.90,13.65,19.07,28.27,0.09,110.81,0.00,0.00,0.00,0.00,40.97,0.00,40.97,180.13,15.7%,61.5%,22.7%,
Region II,Isabela,Cordon,Municipality,3rd,2.52,15.14,0.92,18.58,3.35,2.33,4.77,10.46,29.04,0.00,126.91,0.00,0.00,1.00,0.01,0.00,0.00,1.00,156.95,18.5%,80.9%,0.6%,
Region II,Isabela,Delfin Albano,Municipality,4th,0.69,2.37,0.47,3.53,1.32,8.59,9.95,19.86,23.39,0.00,107.60,0.00,0.00,0.00,0.00,17.44,0.00,17.44,148.42,15.8%,72.5%,11.7%,
Region II,Isabela,Dinapigue,Municipality,1st,0.12,0.28,0.13,0.53,0.60,0.59,0.00,1.19,1.72,0.00,184.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,186.13,0.9%,99.1%,0.0%,
Region II,Isabela,Divilacan,Municipality,2nd,0.24,0.75,0.13,1.13,0.36,0.91,0.00,1.27,2.40,0.10,188.11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,190.61,1.3%,98.7%,0.0%,
Region II,Isabela,Echague,Municipality,1st,4.05,21.20,1.11,26.36,7.11,4.96,394.58,406.65,433.01,0.29,274.01,0.00,0.00,0.00,0.20,0.00,0.00,0.20,707.52,61.2%,38.7%,0.0%,
Region II,Isabela,Gamu,Municipality,4th,1.23,2.19,0.51,3.93,2.58,1.29,0.00,3.87,7.80,0.02,103.22,0.00,0.00,0.00,0.00,0.00,0.00,0.00,111.03,7.0%,93.0%,0.0%,
Region II,Isabela,Jones,Municipality,1st,1.68,4.28,0.79,6.75,1.34,1.37,40.21,42.93,49.68,0.00,217.58,0.00,0.00,0.00,0.00,0.00,0.00,0.00,267.25,18.6%,81.4%,0.0%,
Region II,Isabela,Luna,Municipality,5th,2.04,4.43,0.41,6.88,2.02,13.18,0.00,15.20,22.08,0.01,72.20,0.00,0.00,0.00,0.00,39.34,0.00,39.34,133.63,16.5%,54.0%,29.4%,
Region II,Isabela,Maconacon,Municipality,3rd,0.21,0.80,0.16,1.18,0.33,1.27,0.00,1.59,2.77,0.05,128.29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,131.11,2.1%,97.9%,0.0%,
Region II,Isabela,Mallig,Municipality,4th,1.08,2.50,0.38,3.96,0.84,1.97,4.76,7.58,11.53,0.02,104.78,0.00,0.00,0.00,0.00,0.00,0.00,0.00,116.33,9.9%,90.1%,0.0%,
Region II,Isabela,Naguilian,Municipality,4th,1.49,2.50,0.49,4.47,2.28,3.11,0.00,5.39,9.86,0.04,113.10,0.00,0.00,0.00,0.08,0.00,0.00,0.08,123.08,8.0%,91.9%,0.1%,
Region II,Isabela,Palanan,Municipality,1st,0.33,0.97,0.11,1.41,0.67,0.29,0.08,1.04,2.45,0.00,205.52,0.00,0.00,0.00,0.00,0.00,0.00,0.00,207.97,1.2%,98.8%,0.0%,
Region II,Isabela,Quezon,Municipality,4th,1.76,2.03,0.32,4.12,2.45,16.29,7.88,26.62,30.74,0.00,106.51,0.00,0.00,0.00,0.05,0.00,0.00,0.05,137.29,22.4%,77.6%,0.0%,
Region II,Isabela,Quirino,Municipality,4th,0.73,0.92,0.38,2.03,1.37,1.74,0.42,3.53,5.56,0.28,93.85,0.00,0.00,0.00,0.07,221.95,0.00,222.02,321.71,1.7%,29.2%,69.0%,
Region II,Isabela,Ramon,Municipality,2nd,15.19,33.50,0.52,49.21,4.97,5.59,0.00,10.56,59.77,0.04,141.46,0.00,0.00,1.25,0.00,0.00,0.00,1.25,202.52,29.5%,69.9%,0.6%,
Region II,Isabela,Reina Mercedes,Municipality,4th,2.38,8.09,0.33,10.80,2.92,0.78,0.00,3.70,14.49,0.02,86.62,0.00,0.00,0.00,0.00,0.00,0.00,0.00,101.14,14.3%,85.6%,0.0%,
Region II,Isabela,Roxas,Municipality,1st,3.04,36.66,2.61,42.31,6.69,3.83,27.48,38.01,80.32,0.12,164.43,0.00,0.00,0.00,0.00,0.00,0.00,0.00,244.87,32.8%,67.1%,0.0%,
Region II,Isabela,San Agustin,Municipality,3rd,0.63,1.68,0.24,2.55,0.86,2.15,0.00,3.02,5.57,0.05,116.13,0.00,0.00,0.00,0.00,0.00,0.00,0.00,121.75,4.6%,95.4%,0.0%,
Region II,Isabela,San Guillermo,Municipality,4th,0.41,2.31,0.40,3.12,0.97,2.57,0.00,3.54,6.66,0.00,119.46,0.00,0.00,0.00,0.00,0.00,0.00,0.00,126.12,5.3%,94.7%,0.0%,
Region II,Isabela,San Isidro,Municipality,5th,1.03,2.46,0.32,3.81,1.24,0.31,0.08,1.63,5.44,0.00,85.55,0.00,0.00,0.00,0.00,0.00,0.00,0.00,90.99,6.0%,94.0%,0.0%,
Region II,Isabela,San Manuel,Municipality,4th,2.48,3.41,0.46,6.35,2.12,1.62,0.00,3.74,10.08,0.00,103.75,0.00,0.00,0.00,0.00,0.00,0.00,0.00,113.83,8.9%,91.1%,0.0%,
Region II,Isabela,San Mariano,Municipality,1st,2.72,4.06,0.99,7.76,2.74,5.33,6.70,14.78,22.54,0.14,364.39,0.07,0.00,0.00,0.00,0.00,0.00,0.07,387.15,5.8%,94.1%,0.0%,
Region II,Isabela,San Mateo,Municipality,1st,3.33,13.75,0.84,17.92,10.61,21.86,30.72,63.19,81.12,0.06,158.38,0.00,0.00,0.00,0.10,12.42,0.00,12.51,252.07,32.2%,62.8%,5.0%,
Region II,Isabela,San Pablo,Municipality,2nd,0.36,0.50,0.22,1.08,0.22,0.10,0.00,0.32,1.40,0.15,179.12,0.00,0.00,0.00,0.00,0.00,0.03,0.03,180.70,0.8%,99.1%,0.0%,
Region II,Isabela,Santa Maria,Municipality,4th,0.23,1.60,0.31,2.14,0.76,0.19,1.73,2.68,4.82,0.00,97.55,0.00,0.00,0.00,0.05,0.00,0.00,0.05,102.42,4.7%,95.3%,0.0%,
Region II,Isabela,Santo Tomas,Municipality,4th,0.36,0.36,0.21,0.93,1.31,0.31,0.00,1.61,2.54,0.00,71.48,0.00,0.00,0.00,0.00,0.00,0.05,0.05,74.07,3.4%,96.5%,0.1%,
Region II,Isabela,Tumauini,Municipality,1st,2.14,14.20,1.13,17.47,5.40,1.63,21.04,28.07,45.54,0.06,220.31,0.00,0.00,0.00,0.00,47.60,0.00,47.60,313.52,14.5%,70.3%,15.2%,
Region II,Nueva Vizcaya,Alfonso Castaneda,Municipality,1st,0.15,15.36,-0.46,15.05,0.17,0.42,0.00,0.59,15.64,0.04,107.58,0.00,0.00,0.10,0.02,0.00,0.00,0.12,123.38,12.7%,87.2%,0.1%,
Region II,Nueva Vizcaya,Ambaguio,Municipality,5th,0.14,0.51,0.13,0.78,0.28,0.59,0.00,0.87,1.64,0.00,83.64,0.00,0.00,0.00,0.00,0.00,0.00,0.00,85.29,1.9%,98.1%,0.0%,
Region II,Nueva Vizcaya,Aritao,Municipality,2nd,1.14,4.93,0.51,6.58,2.22,9.10,0.00,11.31,17.89,0.11,159.95,0.00,0.00,0.00,0.11,0.00,0.00,0.11,178.07,10.0%,89.8%,0.1%,
Region II,Nueva Vizcaya,Bagabag,Municipality,2nd,1.74,6.23,0.67,8.64,4.30,5.58,0.00,9.88,18.52,0.00,129.62,0.00,0.00,0.00,0.00,0.00,0.00,0.00,148.14,12.5%,87.5%,0.0%,
Region II,Nueva Vizcaya,Bambang,Municipality,1st,3.49,22.51,1.85,27.85,8.53,20.48,0.00,29.01,56.86,0.16,177.02,0.00,0.00,0.00,0.25,0.00,0.00,0.25,234.29,24.3%,75.6%,0.1%,
Region II,Nueva Vizcaya,Bayombong,Municipality,1st,3.19,21.78,1.10,26.07,9.59,3.41,11.51,24.50,50.57,0.11,156.00,0.00,0.00,0.00,0.39,0.00,0.00,0.39,207.07,24.4%,75.3%,0.2%,
Region II,Nueva Vizcaya,Diadi,Municipality,4th,0.73,1.40,0.35,2.48,0.68,0.71,0.41,1.80,4.28,0.00,92.43,0.00,0.00,0.00,0.02,0.00,0.00,0.02,96.73,4.4%,95.6%,0.0%,
Region II,Nueva Vizcaya,Dupax Del Norte,Municipality,3rd,1.35,1.83,0.40,3.58,1.17,4.10,0.00,5.27,8.85,0.14,135.00,0.00,0.00,0.00,0.06,0.00,0.00,0.06,144.06,6.1%,93.7%,0.0%,
Region II,Nueva Vizcaya,Dupax Del Sur,Municipality,2nd,0.55,0.99,0.47,2.02,0.55,2.89,0.00,3.44,5.46,0.45,161.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,166.92,3.3%,96.5%,0.0%,
Region II,Nueva Vizcaya,Kasibu,Municipality,3rd,13.37,89.57,0.54,103.48,3.37,2.06,0.00,5.43,108.91,0.05,147.00,0.00,0.00,0.00,0.01,0.00,0.00,0.01,255.97,42.5%,57.4%,0.0%,
Region II,Nueva Vizcaya,Kayapa,Municipality,3rd,0.31,1.45,0.30,2.07,0.29,0.86,0.00,1.15,3.22,0.09,150.99,0.00,0.00,0.00,0.05,0.00,0.00,0.05,154.36,2.1%,97.8%,0.0%,
Region II,Nueva Vizcaya,Quezon,Municipality,4th,6.81,50.10,0.53,57.44,1.46,0.34,0.00,1.80,59.25,0.08,98.26,0.00,0.00,0.00,0.00,0.00,0.00,0.00,157.59,37.6%,62.4%,0.0%,
Region II,Nueva Vizcaya,Santa Fe,Municipality,3rd,0.29,1.33,0.27,1.89,0.96,3.18,0.00,4.14,6.03,0.05,125.06,0.00,0.00,0.00,0.00,0.00,0.00,0.00,131.13,4.6%,95.4%,0.0%,
Region II,Nueva Vizcaya,Solano,Municipality,1st,5.52,57.24,1.76,64.53,16.91,36.56,0.00,53.47,117.99,0.20,153.36,0.00,0.00,0.03,0.00,0.00,0.00,0.03,271.59,43.4%,56.5%,0.0%,
Region II,Nueva Vizcaya,Villaverde,Municipality,5th,0.76,0.81,0.24,1.81,1.33,1.32,0.00,2.65,4.46,0.03,76.72,0.00,0.00,0.00,0.00,0.00,0.00,0.00,81.21,5.5%,94.5%,0.0%,
Region II,Quirino,Aglipay,Municipality,3rd,0.73,1.05,0.23,2.01,1.42,0.65,0.96,3.03,5.05,0.00,127.73,0.00,0.00,0.00,0.00,0.00,0.00,0.00,132.78,3.8%,96.2%,0.0%,
Region II,Quirino,Cabarroguis,Municipality,3rd,0.98,35.62,0.46,37.06,1.93,2.08,4.93,8.94,46.00,0.09,125.75,0.00,0.00,0.00,0.00,0.00,0.00,0.00,171.83,26.8%,73.2%,0.0%,
Region II,Quirino,Diffun,Municipality,2nd,1.14,6.90,0.50,8.54,3.02,7.98,0.00,11.00,19.54,0.00,176.89,0.00,0.00,0.00,0.08,0.00,0.00,0.08,196.50,9.9%,90.0%,0.0%,
Region II,Quirino,Maddela,Municipality,1st,1.77,6.64,0.55,8.96,3.82,4.03,13.33,21.18,30.14,0.50,246.55,0.00,0.00,0.00,0.02,0.00,0.00,0.02,277.21,10.9%,88.9%,0.0%,
Region II,Quirino,Nagtipunan,Municipality,1st,0.32,59.58,0.19,60.09,0.50,0.46,0.00,0.95,61.04,0.00,331.79,0.00,0.00,0.00,0.00,0.00,0.00,0.00,392.83,15.5%,84.5%,0.0%,
Region II,Quirino,Saguday,Municipality,5th,0.53,1.12,0.28,1.93,1.12,0.82,1.39,3.33,5.26,0.00,70.12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,75.38,7.0%,93.0%,0.0%,
Region III,Aurora,Baler,Municipality,3rd,5.33,18.13,0.69,24.15,7.69,8.58,7.93,24.20,48.34,0.05,112.98,0.00,0.00,0.00,0.12,0.00,0.00,0.12,161.49,29.9%,70.0%,0.1%,
Region III,Aurora,Casiguran,Municipality,2nd,1.06,2.85,0.45,4.36,0.93,1.46,0.00,2.39,6.75,0.22,190.06,0.00,0.00,0.00,0.04,0.00,0.01,0.04,197.07,3.4%,96.4%,0.0%,
Region III,Aurora,Dilasag,Municipality,3rd,0.56,2.05,0.17,2.78,0.92,1.14,0.00,2.05,4.84,0.00,109.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,114.01,4.2%,95.8%,0.0%,
Region III,Aurora,Dinalungan,Municipality,4th,0.56,1.18,0.33,2.08,0.61,2.16,0.00,2.77,4.85,0.00,103.52,0.00,0.00,0.00,0.00,0.00,0.00,0.00,108.37,4.5%,95.5%,0.0%,
Region III,Aurora,Dingalan,Municipality,3rd,1.03,1.73,0.70,3.46,2.07,6.67,0.00,8.74,12.20,0.00,124.67,0.00,0.00,0.00,0.06,0.00,0.00,0.06,136.93,8.9%,91.1%,0.0%,
Region III,Aurora,Dipaculao,Municipality,3rd,1.72,4.95,0.74,7.41,2.67,3.43,0.00,6.10,13.52,0.05,140.98,0.00,0.00,0.01,0.05,0.00,0.02,0.07,154.62,8.7%,91.2%,0.0%,
Region III,Aurora,Maria Aurora,Municipality,2nd,2.27,6.87,1.15,10.28,4.58,4.67,0.00,9.25,19.53,0.02,169.55,0.00,0.05,0.00,0.14,0.00,0.00,0.19,189.29,10.3%,89.6%,0.1%,
Region III,Aurora,San Luis,Municipality,2nd,1.30,3.21,0.90,5.41,1.17,3.47,0.00,4.64,10.05,0.01,180.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,190.09,5.3%,94.7%,0.0%,
Region III,Bataan,Abucay,Municipality,3rd,9.90,8.13,0.52,18.55,4.73,1.98,6.85,13.56,32.11,0.16,111.40,0.00,0.13,0.00,0.19,0.00,0.00,0.32,143.98,22.3%,77.4%,0.2%,
Region III,Bataan,Bagac,Municipality,3rd,10.37,3.51,0.45,14.33,2.16,0.58,5.09,7.82,22.15,0.03,115.04,0.00,0.00,0.00,0.09,0.00,0.00,0.09,137.31,16.1%,83.8%,0.1%,
Region III,Bataan,Dinalupihan,Municipality,1st,12.13,25.61,1.80,39.54,11.33,5.99,8.97,26.29,65.83,0.29,222.27,52.89,0.00,0.00,0.61,0.00,0.00,53.51,341.89,19.3%,65.0%,15.7%,
Region III,Bataan,Hermosa,Municipality,1st,13.22,21.86,2.05,37.12,15.89,3.41,9.44,28.74,65.86,0.13,166.56,66.17,0.00,0.00,0.20,0.00,0.00,66.37,298.92,22.0%,55.7%,22.2%,
Region III,Bataan,Limay,Municipality,1st,448.71,42.20,0.90,491.81,30.20,2.17,0.42,32.78,524.59,0.00,161.43,0.00,0.00,0.00,0.23,0.00,0.50,0.73,686.75,76.4%,23.5%,0.1%,
Region III,Bataan,Mariveles,Municipality,1st,100.65,175.44,7.26,283.35,21.69,4.42,11.22,37.33,320.68,0.38,266.95,15.20,0.00,0.00,0.61,0.00,0.00,15.81,603.82,53.1%,44.2%,2.6%,
Region III,Bataan,Morong,Municipality,3rd,19.47,14.95,0.45,34.86,4.60,2.36,2.09,9.05,43.91,0.59,117.92,36.96,0.00,0.00,0.12,0.00,0.00,37.07,199.50,22.0%,59.1%,18.6%,
Region III,Bataan,Orani,Municipality,1st,8.97,22.93,2.03,33.93,7.72,8.94,20.63,37.29,71.22,0.72,153.19,0.00,0.00,0.00,0.00,0.00,0.00,0.00,225.13,31.6%,68.0%,0.0%,
Region III,Bataan,Orion,Municipality,2nd,6.58,10.45,1.07,18.10,7.38,2.66,21.13,31.18,49.28,0.16,135.43,0.00,0.00,0.00,0.00,0.00,0.00,0.00,184.86,26.7%,73.3%,0.0%,
Region III,Bataan,Pilar,Municipality,3rd,4.16,10.80,0.62,15.58,4.40,7.84,3.01,15.25,30.83,0.17,107.68,0.00,0.00,0.00,0.08,0.00,0.00,0.08,138.76,22.2%,77.6%,0.1%,
Region III,Bataan,Samal,Municipality,4th,7.54,20.31,0.61,28.46,3.30,2.85,31.98,38.14,66.60,0.02,100.07,0.00,0.00,0.00,0.15,0.00,0.00,0.15,166.83,39.9%,60.0%,0.1%,
Region III,Bulacan,Angat,Municipality,1st,4.37,24.13,0.96,29.46,5.47,3.60,9.96,19.03,48.49,0.17,142.13,0.00,0.00,0.00,0.25,0.00,0.00,0.25,191.03,25.4%,74.4%,0.1%,
Region III,Bulacan,Balagtas,Municipality,1st,13.05,60.96,1.58,75.58,9.15,11.37,18.73,39.24,114.82,0.00,158.74,0.00,0.00,0.00,0.49,0.00,0.00,0.49,274.05,41.9%,57.9%,0.2%,
Region III,Bulacan,Baliuag,Municipality,1st,21.51,164.59,4.04,190.15,36.81,28.66,29.71,95.18,285.33,0.14,285.79,0.00,0.00,0.00,1.52,0.00,0.59,2.11,573.37,49.8%,49.8%,0.4%,
Region III,Bulacan,Bocaue,Municipality,1st,11.72,96.09,3.10,110.92,16.84,6.83,8.58,32.25,143.17,0.31,234.10,0.00,0.00,0.00,0.70,0.00,0.00,0.70,378.28,37.8%,61.9%,0.2%,
Region III,Bulacan,Bulacan,Municipality,1st,6.61,9.84,1.39,17.83,9.33,1.28,7.63,18.24,36.07,0.00,170.29,0.00,0.00,0.00,0.43,0.00,0.00,0.43,206.79,17.4%,82.3%,0.2%,
Region III,Bulacan,Bustos,Municipality,2nd,5.39,12.06,0.93,18.38,7.85,6.00,3.50,17.34,35.72,0.04,154.23,0.00,0.00,0.01,0.39,0.00,0.00,0.40,190.39,18.8%,81.0%,0.2%,
Region III,Bulacan,Calumpit,Municipality,1st,14.64,53.50,1.83,69.97,8.23,3.22,7.01,18.46,88.44,0.13,220.23,0.00,0.00,0.02,0.38,0.00,0.00,0.39,309.19,28.6%,71.2%,0.1%,
Region III,Bulacan,Doña Remedios Trinidad,Municipality,1st,1.56,9.18,0.33,11.07,2.46,3.92,7.67,14.04,25.11,0.17,223.00,0.00,0.00,1.86,0.00,0.00,0.00,1.86,250.14,10.0%,89.2%,0.7%,
Region III,Bulacan,Guiguinto,Municipality,1st,33.41,192.44,2.13,227.99,16.49,15.60,32.15,64.24,292.23,0.00,200.75,0.00,0.00,0.00,0.80,0.00,0.00,0.80,493.78,59.2%,40.7%,0.2%,
Region III,Bulacan,Hagonoy,Municipality,1st,6.93,21.29,1.77,29.99,9.03,2.79,16.34,28.15,58.14,0.06,262.34,0.00,0.00,0.00,0.00,0.00,0.00,0.00,320.54,18.1%,81.8%,0.0%,
Region III,Bulacan,Marilao,Municipality,1st,41.85,248.48,4.65,294.99,54.13,45.58,12.41,112.12,407.11,1.71,401.74,0.00,0.00,0.00,0.95,0.00,0.00,0.95,811.51,50.2%,49.5%,0.1%,
Region III,Bulacan,Norzagaray,Municipality,1st,42.56,74.58,1.30,118.44,22.06,7.19,7.13,36.38,154.82,0.12,262.52,0.00,0.00,18.25,0.31,0.00,0.00,18.56,436.01,35.5%,60.2%,4.3%,
Region III,Bulacan,Obando,Municipality,2nd,3.33,9.56,0.68,13.57,5.35,2.67,5.46,13.47,27.04,0.04,138.47,0.00,0.00,0.00,0.00,0.00,0.00,0.00,165.56,16.3%,83.6%,0.0%,
Region III,Bulacan,Pandi,Municipality,2nd,11.77,18.85,0.80,31.43,8.41,5.52,3.28,17.20,48.63,0.22,183.93,0.00,0.00,0.00,0.32,0.00,0.00,0.32,233.10,20.9%,78.9%,0.1%,
Region III,Bulacan,Paombong,Municipality,3rd,4.03,3.47,0.51,8.01,1.51,0.34,1.61,3.46,11.47,0.05,127.87,0.00,0.00,0.00,0.39,0.00,0.00,0.39,139.79,8.2%,91.5%,0.3%,
Region III,Bulacan,Plaridel,Municipality,1st,19.02,85.94,1.98,106.94,14.74,4.57,11.67,30.99,137.93,1.68,214.77,0.00,0.00,0.00,0.82,0.00,0.00,0.82,355.20,38.8%,60.5%,0.2%,
Region III,Bulacan,Pulilan,Municipality,1st,20.81,97.33,3.40,121.54,35.69,8.56,85.92,130.17,251.72,0.00,198.85,0.00,0.00,0.00,0.65,0.00,0.00,0.65,451.21,55.8%,44.1%,0.1%,
Region III,Bulacan,San Ildefonso,Municipality,1st,49.07,59.79,0.89,109.76,6.61,2.92,18.36,27.89,137.65,0.24,225.09,0.00,0.02,3.66,0.34,0.00,0.00,4.02,366.99,37.5%,61.3%,1.1%,
Region III,Bulacan,San Miguel,Municipality,1st,15.68,22.24,0.96,38.89,17.82,4.73,8.08,30.63,69.52,0.16,322.74,0.00,0.00,0.00,0.62,0.00,0.00,0.62,393.04,17.7%,82.1%,0.2%,
Region III,Bulacan,San Rafael,Municipality,1st,12.16,45.69,1.04,58.90,24.26,2.77,13.35,40.38,99.27,1.06,212.92,0.00,0.00,0.00,0.35,0.00,0.00,0.35,313.60,31.7%,67.9%,0.1%,
Region III,Bulacan,Santa Maria,Municipality,1st,45.30,168.74,6.03,220.08,33.46,22.12,26.28,81.86,301.94,1.99,467.53,0.00,0.00,0.00,0.00,0.00,0.00,0.00,771.46,39.1%,60.6%,0.0%,
Region III,Nueva Ecija,Aliaga,Municipality,2nd,3.67,7.33,0.64,11.64,1.47,1.16,0.71,3.33,14.97,0.12,151.80,0.00,0.00,0.00,0.18,0.00,0.00,0.18,167.08,9.0%,90.9%,0.1%,
Region III,Nueva Ecija,Bongabon,Municipality,2nd,3.81,5.77,1.21,10.79,4.21,1.93,7.16,13.29,24.08,0.06,185.08,0.00,0.00,0.00,0.25,0.00,0.00,0.25,209.48,11.5%,88.4%,0.1%,
Region III,Nueva Ecija,Cabiao,Municipality,1st,5.38,10.67,0.92,16.96,3.07,1.74,6.48,11.29,28.25,0.03,180.67,0.00,0.00,0.00,0.27,0.00,0.00,0.27,209.22,13.5%,86.4%,0.1%,
Region III,Nueva Ecija,Carranglan,Municipality,1st,1.29,1.77,0.49,3.54,1.29,0.63,1.76,3.68,7.22,0.00,215.92,0.00,0.00,0.00,0.00,0.00,0.00,0.00,223.14,3.2%,96.8%,0.0%,
Region III,Nueva Ecija,Cuyapo,Municipality,1st,5.72,5.10,0.65,11.46,3.41,2.95,5.13,11.48,22.95,0.03,174.83,0.00,0.00,-0.04,2.45,0.00,0.04,2.45,200.26,11.5%,87.3%,1.2%,
Region III,Nueva Ecija,Gabaldon,Municipality,3rd,1.13,0.93,0.58,2.64,1.19,0.26,4.15,5.60,8.24,0.00,130.77,0.00,0.00,0.00,0.00,0.00,0.00,0.00,139.01,5.9%,94.1%,0.0%,
Region III,Nueva Ecija,General Mamerto Natividad,Municipality,4th,2.17,2.46,0.52,5.14,3.07,1.38,2.40,6.85,11.99,0.00,120.57,0.00,0.00,0.00,0.12,0.00,0.00,0.12,132.69,9.0%,90.9%,0.1%,
Region III,Nueva Ecija,General Tinio,Municipality,1st,2.68,2.67,0.67,6.02,3.28,3.61,8.21,15.10,21.12,0.02,198.72,0.00,0.00,0.00,0.17,0.00,0.00,0.17,220.04,9.6%,90.3%,0.1%,
Region III,Nueva Ecija,Guimba,Municipality,1st,13.50,21.22,1.28,36.00,9.89,2.10,27.10,39.09,75.09,0.19,267.39,0.00,0.00,0.00,1.42,0.00,0.21,1.62,344.28,21.8%,77.7%,0.5%,
Region III,Nueva Ecija,Jaen,Municipality,2nd,4.05,5.12,0.54,9.71,2.24,1.42,3.42,7.09,16.80,0.01,166.82,0.00,0.00,0.00,0.18,0.00,0.00,0.18,183.81,9.1%,90.8%,0.1%,
