k_corr,res_corr
0.9981745265127338,0.9999975271524226
0.9992101898849252,0.9999997623546399
0.9996205153866278,0.9999999429142185
0.9998449649038442,0.9999999864605349
0.9999099615984879,0.9999999937267495
0.9999482875714167,0.9999999959120389
0.9999613194760056,0.9999999983855405
0.9999509865547473,0.9999999989850137
0.9999665751508953,0.9999999993669788
0.9999711965746616,0.9999999995732831
0.999968044690321,0.9999999996936489
0.9999756960211762,0.9999999996879861
0.9999796130450693,0.9999999997755294
0.9999805770436623,0.9999999998577176
0.9999823013422086,0.9999999998605733
0.9999905315887443,0.9999999999159854
0.9999927310772482,0.9999999999297401
0.999993473898315,0.9999999999420187
0.9999944481123945,0.9999999999635657
0.9999952330888977,0.9999999999606562
0.9999953486172587,0.9999999999668616
0.999996179345686,0.9999999999794476
0.9999966425950579,0.999999999980318
0.9999969198975373,0.9999999999821239
