Node ID,No. Provinces,Mean GINI,Major Dialect Ratio,Admin Share (%),Mean Entropy (Raw),Mean Entropy (Scaled),Mean L2 Norm (Raw),Mean L2 Norm (Scaled),Mean Total Persistence (Raw),Mean Total Persistence (Scaled),No. of Provinces in each Region,Provinces Included
16,1,0.834923063991625,1/1,39.4,0.9353965477225226,-1.8697336843812027,2.95380016739293,0.6745569641077473,16.99090881766694,-0.01775034860608766,Region 12 (1),SULTAN KUDARAT
14,2,0.813926040276462,1/2,39.71,0.9608207592792866,-0.250520741694202,1.9806052019545417,0.31452672005712523,40.64937352290772,2.1827640333678513,"Region 8 (1), Region 9 (1)","SAMAR, ZAMBOANGA DEL SUR"
17,1,0.800854666630143,1/1,32.73,0.9372656194804166,-1.750696554186002,0.3498330998184427,-0.2887720009329971,1.7841135870326752,-1.43216045617874,NCR (1),TAGUIG - PATEROS
8,2,0.7887574420719909,1/2,35.57,0.9429488867808924,-1.3887415748099832,2.043453585997356,0.33777727092174953,25.355398983770158,0.7602452287786277,"Region 12 (1), Region 8 (1)","COTABATO, NORTHERN SAMAR"
11,1,0.786969628027903,1/1,38.43,0.9628851619387557,-0.11904340963744345,1.301377225555053,0.06324858690426742,52.289057996694424,3.2653910510260427,Region 8 (1),LEYTE
0,10,0.7793110730610027,3/10,37.81,0.9601368580894005,-0.2940769265422573,0.8422284042956172,-0.10661199401142336,15.439298478440113,-0.1620682876282154,"CAR (2), Region 13 (1), Region 10 (1), Region 6 (1), Region 11 (1), Region 8 (1), Region 1 (1), Region 4-B (1), Region 9 (1)","ABRA, AGUSAN DEL SUR, BUKIDNON, CAPIZ, DAVAO OCCIDENTAL, EASTERN SAMAR, ILOCOS NORTE, KALINGA, OCCIDENTAL MINDORO, ZAMBOANGA SIBUGAY"
4,5,0.7688919540078917,2/5,35.44,0.9547962361226409,-0.6342095670872087,0.6865025415908989,-0.16422225952416952,5.389176701073928,-1.096847352424622,"Region 2 (1), Region 10 (1), Region 13 (1), NCR (1), Region 4-B (1)","BATANES, CAMIGUIN, DINAGAT ISLANDS, NCR - MANILA, OCCIDENTAL MINDORO"
13,29,0.7685562194783035,11/29,34.81,0.9693626028251917,0.29349076454491796,0.3563966748559608,-0.2863438281551635,8.69188344824133,-0.7896569329645501,"Region 3 (4), Region 11 (4), Region 4-A (3), NCR (3), Region 6 (2), Region 10 (2), CAR (2), Region 4-B (2), Region 12 (2), Region 8 (1), Region 5 (1), Region 2 (1), Region 7 (1), Region 13 (1)","AKLAN, AURORA, BATAAN, BILIRAN, BULACAN, CAMARINES NORTE, CAMIGUIN, CAVITE, DAVAO DE ORO, DAVAO DEL NORTE, DAVAO OCCIDENTAL, DAVAO ORIENTAL, GUIMARAS, IFUGAO, KALINGA, LAGUNA, MARINDUQUE, MISAMIS ORIENTAL, NCR - FOURTH DISTRICT, NCR - MANILA, NCR - SECOND DISTRICT, QUIRINO, RIZAL, ROMBLON, SARANGANI, SIQUIJOR, SOUTH COTABATO, SURIGAO DEL SUR, ZAMBALES"
1,38,0.7616217164122451,9/38,36.0,0.9686721282508952,0.24951593508753872,0.46843612378454064,-0.24489520627200023,13.50906265055468,-0.34160283278077386,"Region 11 (5), Region 13 (4), Region 6 (3), CAR (3), Region 3 (3), Region 4-A (3), Region 4-B (3), Region 8 (2), Region 10 (2), Region 1 (2), Region 2 (2), Region 12 (2), Region 5 (1), NCR (1), Region 7 (1), Region 9 (1)","AGUSAN DEL NORTE, AGUSAN DEL SUR, AKLAN, ALBAY, ANTIQUE, BENGUET, BILIRAN, BUKIDNON, BULACAN, CAPIZ, CAVITE, DAVAO DE ORO, DAVAO DEL NORTE, DAVAO DEL SUR, DAVAO OCCIDENTAL, DAVAO ORIENTAL, EASTERN SAMAR, IFUGAO, ILOCOS NORTE, KALINGA, LA UNION, LAGUNA, MISAMIS ORIENTAL, NCR - SECOND DISTRICT, NEGROS ORIENTAL, NUEVA ECIJA, NUEVA VIZCAYA, ORIENTAL MINDORO, PALAWAN, PAMPANGA, QUIRINO, RIZAL, ROMBLON, SARANGANI, SOUTH COTABATO, SURIGAO DEL NORTE, SURIGAO DEL SUR, ZAMBOANGA SIBUGAY"
15,21,0.7555735466570758,6/21,36.3,0.9689772350984184,0.26894752907458425,0.6224845923907635,-0.18790548713289704,21.077175854631093,0.3623203573951256,"Region 6 (3), Region 1 (3), Region 5 (2), Region 7 (2), Region 10 (2), Region 8 (2), Region 9 (2), Region 13 (1), Region 2 (1), Region 11 (1), Region 3 (1), Region 4-B (1)","AGUSAN DEL SUR, ALBAY, ANTIQUE, BOHOL, BUKIDNON, CAGAYAN, CAPIZ, DAVAO DEL SUR, EASTERN SAMAR, ILOCOS NORTE, ILOCOS SUR, MASBATE, MISAMIS OCCIDENTAL, NEGROS OCCIDENTAL, NEGROS ORIENTAL, NUEVA ECIJA, PALAWAN, PANGASINAN, SOUTHERN LEYTE, ZAMBOANGA DEL NORTE, ZAMBOANGA SIBUGAY"
