Node ID,No. Provinces,Mean 2021 Poverty Incidence,Major Dialect Ratio,Admin Share (%),Mean Entropy (Raw),Mean Entropy (Scaled),Mean L2 Norm (Raw),Mean L2 Norm (Scaled),Mean Total Persistence (Raw),Mean Total Persistence (Scaled),No. of Provinces in each Region,Provinces Included
3,1,42.5,1/1,48.81,0.9277401829800311,-2.357350964362351,5.389301176238712,1.5755624704456201,32.74116643487834,1.4472081277058066,BARMM (1),BASILAN
14,2,35.9,1/2,35.71,0.9714320055602579,0.42528654058184967,0.47111963710079285,-0.24390244943655148,19.39149908319982,0.20553266955872018,"Region 4-B (1), Region 9 (1)","ROMBLON, ZAMBOANGA DEL NORTE"
10,2,24.65,1/2,40.4,0.9230465820106226,-2.6562762396066293,4.613748421731183,1.2886493056680992,26.52174262299943,0.8687288512124747,"Region 10 (1), Region 12 (1)","LANAO DEL NORTE, SULTAN KUDARAT"
17,1,24.0,1/1,38.08,0.9724159379738013,0.4879510639312448,0.3152135721847384,-0.3015793801586646,11.989091501760608,-0.48297795643222086,Region 13 (1),SURIGAO DEL SUR
8,2,23.200000000000003,1/2,34.27,0.9628149111380246,-0.12351753091053944,0.7875919740995422,-0.1268245598344357,25.345609117438556,0.7593346565192404,Region 7 (2),"CEBU, NEGROS ORIENTAL"
12,1,20.8,1/1,38.43,0.9628851619387557,-0.11904340963744345,1.301377225555053,0.06324858690426742,52.289057996694424,3.2653910510260427,Region 8 (1),LEYTE
13,29,16.93793103448276,5/29,36.36,0.9634635789880337,-0.0822052811326297,1.6383521361526447,0.18791133549004224,18.687675343731506,0.1400688163302549,"BARMM (3), Region 2 (3), Region 5 (3), Region 11 (3), Region 6 (2), CAR (2), Region 10 (2), Region 12 (2), Region 8 (2), NCR (2), Region 4-A (2), Region 3 (1), Region 1 (1), Region 13 (1)","AKLAN, AURORA, BASILAN, BENGUET, BUKIDNON, CAGAYAN, CAMARINES SUR, CATANDUANES, COTABATO, DAVAO DE ORO, DAVAO DEL SUR, DAVAO OCCIDENTAL, EASTERN SAMAR, GUIMARAS, ISABELA, LA UNION, MAGUINDANAO, MISAMIS OCCIDENTAL, MOUNTAIN PROVINCE, NCR - FOURTH DISTRICT, NCR - MANILA, QUEZON, QUIRINO, RIZAL, SAMAR, SARANGANI, SORSOGON, SURIGAO DEL NORTE, TAWI-TAWI"
0,10,16.240000000000002,3/10,39.32,0.9652430763786745,0.031127051709634423,0.8571127788177471,-0.10110556910988337,19.108324676379826,0.17919413227078243,"CAR (2), Region 13 (2), Region 2 (2), Region 7 (1), Region 10 (1), Region 11 (1), Region 9 (1)","ABRA, AGUSAN DEL SUR, BOHOL, CAMIGUIN, DAVAO DEL SUR, DINAGAT ISLANDS, IFUGAO, ISABELA, NUEVA VIZCAYA, ZAMBOANGA DEL SUR"
16,1,16.0,1/1,41.9,0.967863681030894,0.1980276834584611,0.9110260293359297,-0.08116054120596282,23.513668426690487,0.5889427106707248,Region 8 (1),SOUTHERN LEYTE
1,38,15.939473684210528,7/38,35.95,0.9658160658444868,0.06761950918448799,0.8381053051796679,-0.10813732083048619,17.242893024833414,0.005687134713668353,"Region 13 (4), Region 6 (4), Region 11 (4), Region 4-A (3), CAR (3), Region 10 (3), Region 5 (3), Region 4-B (3), Region 2 (2), Region 8 (2), Region 7 (1), Region 12 (1), Region 1 (1), NCR (1), Region 3 (1), BARMM (1), Region 9 (1)","AGUSAN DEL NORTE, AGUSAN DEL SUR, AKLAN, ALBAY, ANTIQUE, BATANGAS, BENGUET, BOHOL, BUKIDNON, CAMIGUIN, CATANDUANES, COTABATO, DAVAO DE ORO, DAVAO DEL NORTE, DAVAO DEL SUR, DAVAO OCCIDENTAL, DINAGAT ISLANDS, GUIMARAS, IFUGAO, ISABELA, KALINGA, LA UNION, MISAMIS OCCIDENTAL, NCR - MANILA, NEGROS OCCIDENTAL, NORTHERN SAMAR, NUEVA ECIJA, OCCIDENTAL MINDORO, ORIENTAL MINDORO, PALAWAN, QUEZON, QUIRINO, RIZAL, SAMAR, SORSOGON, SULU, SURIGAO DEL NORTE, ZAMBOANGA DEL SUR"
4,5,14.779999999999998,2/5,32.81,0.9726403769428122,0.5022450955339356,0.3191753400171572,-0.30011373731192514,12.527661958521659,-0.4328845944759635,"Region 3 (1), Region 5 (1), Region 11 (1), NCR (1), Region 2 (1)","BATAAN, CAMARINES SUR, DAVAO ORIENTAL, NCR - FOURTH DISTRICT, NUEVA VIZCAYA"
15,21,14.499999999999996,5/21,35.35,0.9680063399126377,0.20711331851120626,0.6360038490792916,-0.18290408303833183,15.318247383688279,-0.17332745758171147,"Region 3 (3), Region 13 (2), Region 5 (2), Region 6 (2), Region 8 (2), Region 4-B (2), Region 7 (1), Region 10 (1), Region 11 (1), CAR (1), Region 1 (1), NCR (1), Region 12 (1), Region 9 (1)","AGUSAN DEL SUR, ALBAY, ANTIQUE, BILIRAN, BOHOL, BULACAN, CAMIGUIN, DAVAO DEL NORTE, DINAGAT ISLANDS, IFUGAO, ILOCOS NORTE, MARINDUQUE, MASBATE, NCR - THIRD DISTRICT, NEGROS OCCIDENTAL, NORTHERN SAMAR, ORIENTAL MINDORO, PAMPANGA, SOUTH COTABATO, ZAMBALES, ZAMBOANGA DEL SUR"
2,26,13.684615384615386,7/26,35.4,0.961873995925274,-0.1834423819548127,1.6419779345060257,0.18925268754426083,16.491411706258056,-0.06420943169131463,"CAR (3), BARMM (3), NCR (3), Region 3 (2), Region 10 (2), Region 6 (2), Region 5 (2), Region 12 (2), Region 4-A (2), Region 2 (1), Region 8 (1), Region 1 (1), Region 4-B (1), Region 13 (1)","APAYAO, AURORA, BASILAN, BENGUET, BUKIDNON, CAGAYAN, CAPIZ, CATANDUANES, COTABATO, EASTERN SAMAR, GUIMARAS, KALINGA, LA UNION, MAGUINDANAO, MISAMIS ORIENTAL, NCR - MANILA, NCR - SECOND DISTRICT, NUEVA ECIJA, PALAWAN, QUEZON, RIZAL, SARANGANI, SORSOGON, SURIGAO DEL NORTE, TAGUIG - PATEROS, TAWI-TAWI"
6,10,11.71,3/10,34.57,0.9722707637268873,0.47870523072129584,0.48742837967979413,-0.2378690843047953,15.3948238793543,-0.1662049463734116,"Region 3 (3), Region 5 (2), Region 1 (2), Region 8 (1), Region 6 (1), NCR (1)","BILIRAN, BULACAN, CAMARINES NORTE, ILOCOS NORTE, ILOILO, MASBATE, NCR - THIRD DISTRICT, PAMPANGA, PANGASINAN, ZAMBALES"
7,4,11.700000000000001,2/4,33.93,0.9731024376521923,0.5316727408815505,0.7282253765780603,-0.14878703534363244,19.29073390158904,0.1961603271815062,"Region 4-A (1), Region 1 (1), Region 6 (1), Region 4-B (1)","CAVITE, ILOCOS SUR, ILOILO, MARINDUQUE"
5,19,9.942105263157895,7/19,33.81,0.9662283129479192,0.09387463390968609,0.5120816892738658,-0.22874867433040655,13.209736853206135,-0.36944363860514295,"Region 3 (3), Region 4-B (3), Region 5 (2), Region 8 (2), NCR (2), Region 6 (1), Region 2 (1), Region 4-A (1), Region 11 (1), Region 1 (1), CAR (1), Region 7 (1)","ALBAY, ANTIQUE, BATANES, BATANGAS, BILIRAN, BULACAN, DAVAO DEL NORTE, ILOCOS NORTE, KALINGA, MASBATE, NCR - THIRD DISTRICT, NORTHERN SAMAR, NUEVA ECIJA, OCCIDENTAL MINDORO, ORIENTAL MINDORO, PALAWAN, PAMPANGA, SIQUIJOR, TAGUIG - PATEROS"
18,1,8.1,1/1,35.45,0.9813643664883527,1.0578570858002345,0.22897370554685026,-0.33348353229178374,14.210459120333738,-0.2763647440694357,Region 3 (1),TARLAC
11,1,7.4,1/1,37.15,0.9339098564538666,-1.9644178297916848,4.145387417613534,1.115380708311235,25.67521139173515,0.7899915293957083,BARMM (1),LANAO DEL SUR
9,1,6.9,1/1,32.01,0.9714101400354631,0.423893972687766,0.2738461518520391,-0.31688311986863876,12.311997041813092,-0.4529439582942458,Region 4-A (1),LAGUNA
