Epsilon,Num_Balls_Mean,Num_Balls_CI_Lower,Num_Balls_CI_Upper,Avg_Ball_Size_Mean,Avg_Ball_Size_CI_Lower,Avg_Ball_Size_CI_Upper
0.1,76.659,76.0,77.0,1.1304528366370472,1.12987012987013,1.131578947368421
0.15000000000000002,66.578,65.0,68.0,1.3500850631151111,1.328358208955224,1.3692307692307693
0.20000000000000004,56.685,54.975,59.0,1.738829486720867,1.6666666666666667,1.8103448275862069
0.25000000000000006,45.315,43.0,47.0,2.3053736770192916,2.2,2.425531914893617
0.30000000000000004,38.502,36.0,41.0,2.9531588300810134,2.763157894736842,3.135135135135135
0.3500000000000001,32.228,30.0,34.0,3.62788778850705,3.34375,3.90625
0.40000000000000013,29.104,27.0,31.0,4.184108642724947,3.8074999999999997,4.536031105990783
0.4500000000000001,26.741,25.0,29.0,4.67425225408053,4.2592592592592595,5.1072420634920634
0.5000000000000001,24.938,23.0,27.0,5.106392334163422,4.6,5.583333333333333
0.5500000000000002,23.86,22.0,26.0,5.462402731833384,4.826086956521739,6.043478260869565
0.6000000000000002,22.326,21.0,24.0,5.969892033690947,5.3,6.608695652173913
0.6500000000000001,21.456,20.0,23.0,6.303304925356871,5.523809523809524,7.08705533596838
0.7000000000000002,20.988,19.0,22.024999999999977,6.560894059754129,5.7,7.333695652173913
0.7500000000000002,18.952,17.0,20.0,7.398222832203057,6.388888888888889,8.38888888888889
0.8000000000000003,16.885,15.0,18.0,8.407184821121431,7.1875,9.470588235294118
0.8500000000000003,16.154,15.0,18.0,8.71949019607843,7.213928571428571,9.94125816993464
0.9000000000000002,15.382,14.0,17.0,9.373685959383753,7.733333333333333,11.071428571428571
0.9500000000000003,14.605,12.0,17.0,9.986443929436577,8.142857142857142,12.385416666666666
1.0000000000000002,14.012,11.0,16.0,10.47676043270455,8.383333333333335,12.75
