k_corr,res_corr
0.9975136224577391,0.9999327755336382
0.9990271902100055,0.9999958802467163
0.9995993021526475,0.9999992728907554
0.9997625985464251,0.9999998258305931
0.9998663618604406,0.9999999002403253
0.9999208078634045,0.9999999581420493
0.9999426286756407,0.9999999803008569
0.9999681461406321,0.9999999876222403
0.999981194918623,0.999999992360382
0.9999874157078232,0.9999999943995497
0.9999933838112995,0.9999999960211859
0.9999963877066981,0.9999999965538936
0.9999970242826746,0.9999999977248367
0.9999977687583681,0.999999998716693
0.9999982269854749,0.9999999987377711
0.9999986040187143,0.9999999992084213
0.999998767816252,0.9999999993329808
0.9999988572497451,0.9999999993153122
0.9999988472139203,0.9999999994924023
0.9999989975796932,0.9999999996849696
0.9999990861414289,0.9999999997744882
0.999999237970578,0.9999999997302597
0.9999993201855468,0.9999999997997777
0.9999993491375453,0.9999999998179605
