Province,Region,Mean_Admin_Prop,H0_PersistentEntropy,H0_L2_Norm,H0_Total_Persistence
ABRA,CAR,0.42300173397248797,0.9538009633414235,1.0573292586440175,17.69554794465363
AGUSAN DEL NORTE,Region 13,0.3846592128117776,0.9656427509054923,0.5968837207167069,13.928279855823497
AGUSAN DEL SUR,Region 13,0.38237744250088523,0.9581345804934525,1.2950556413823122,19.018306334087917
AKLAN,Region 6,0.31121571104765855,0.9677985054577058,0.4515699075061895,12.16674708096378
ALBAY,Region 5,0.26401103898024286,0.9739576109558542,0.418687636526229,18.22027855568559
ANTIQUE,Region 6,0.2909534217887106,0.9749443288807522,0.342218730857163,18.435226654206
APAYAO,CAR,0.3679110826538904,0.9798720209926517,0.3631524503092246,7.2832811901831755
AURORA,Region 3,0.34073190884186416,0.9730148655950265,0.29451843079383533,5.590303474304351
BASILAN,BARMM,0.4880817197353931,0.9277401829800311,5.389301176238712,32.74116643487834
BATAAN,Region 3,0.33797901385275486,0.9752601686040474,0.3032486613888551,6.76864942659386
BATANES,Region 2,0.2984769733656534,0.9535535345635625,0.4917138048579746,1.887695544953414
BATANGAS,Region 4-A,0.30403945863627185,0.9789761921511433,0.2065730403483393,20.31622783580874
BENGUET,CAR,0.3674083556699323,0.9699589374492051,0.3880031046083686,14.824555995294226
BILIRAN,Region 8,0.39663402549194404,0.9694090786686798,0.41602177003157537,6.578280092717444
BOHOL,Region 7,0.37688913797373125,0.9774776440556773,0.30908863713015017,25.891820583646748
BUKIDNON,Region 10,0.42790863827820547,0.9616259620745011,0.5680663607460674,18.430456317289252
BULACAN,Region 3,0.32406775157407014,0.9743312851411853,0.19114324508384134,12.256488520636657
CAGAYAN,Region 2,0.36899527912368524,0.9725272716511033,0.4456005180865608,21.907491736046662
CAMARINES NORTE,Region 5,0.2905452422332773,0.9766703908935411,0.25664112836171615,8.842400810022399
CAMARINES SUR,Region 5,0.2532946759560823,0.9776362023258878,0.42584085885478257,28.937627184181707
CAMIGUIN,Region 10,0.41149312673272853,0.9555620423359922,0.5996174675382848,4.3545944011849205
CAPIZ,Region 6,0.2973982663320532,0.9652925485855478,0.538943741055678,15.439920402159643
