Province,Birth,Death
ABRA,0.0,0.007615006846858235
ABRA,0.0,0.009011805719741741
ABRA,0.0,0.010187551570319798
ABRA,0.0,0.010495930183439625
ABRA,0.0,0.01062032961447345
ABRA,0.0,0.010646239715566415
ABRA,0.0,0.011781556952770243
ABRA,0.0,0.011953979566152016
ABRA,0.0,0.012656692690680645
ABRA,0.0,0.014960103188224619
ABRA,0.0,0.015114768826064592
ABRA,0.0,0.01661083380410206
ABRA,0.0,0.016621249221388322
ABRA,0.0,0.016767783398981898
ABRA,0.0,0.017010663029911017
ABRA,0.0,0.017341065440251557
ABRA,0.0,0.019026826290591686
ABRA,0.0,0.01939514099883116
ABRA,0.0,0.021245717375300375
ABRA,0.0,0.021573130735583822
ABRA,0.0,0.02228866731972587
ABRA,0.0,0.022527155791651408
ABRA,0.0,0.022553886295192335
ABRA,0.0,0.022667417775964854
ABRA,0.0,0.023259801375607663
ABRA,0.0,0.023279839011824375
ABRA,0.0,0.023365858022914594
ABRA,0.0,0.023386785366466958
ABRA,0.0,0.023513693624538725
ABRA,0.0,0.02383162554970436
ABRA,0.0,0.02385687856410899
ABRA,0.0,0.02411478036830914
ABRA,0.0,0.02413580013944254
ABRA,0.0,0.024401061224764528
ABRA,0.0,0.024479016138765047
ABRA,0.0,0.024520168815060375
ABRA,0.0,0.02462907843999292
ABRA,0.0,0.024785360963034356
ABRA,0.0,0.02498195823878182
ABRA,0.0,0.025307457216265972
ABRA,0.0,0.025505332119688334
ABRA,0.0,0.026002913885597313
ABRA,0.0,0.026019459006365816
ABRA,0.0,0.02617314562925933
ABRA,0.0,0.02684716635791132
ABRA,0.0,0.027110603806937132
ABRA,0.0,0.027411049392673793
ABRA,0.0,0.027637483254388875
ABRA,0.0,0.027656274139794917
ABRA,0.0,0.027788257470919297
ABRA,0.0,0.02779289470358228
ABRA,0.0,0.027823477519896143
ABRA,0.0,0.02893183749717749
ABRA,0.0,0.028974268712053858
ABRA,0.0,0.028994337893635015
ABRA,0.0,0.029549129906883367
ABRA,0.0,0.02971316383533422
ABRA,0.0,0.029949831712315418
ABRA,0.0,0.02997408513227612
ABRA,0.0,0.030156292633319988
ABRA,0.0,0.030316974208093844
ABRA,0.0,0.030370088639937565
ABRA,0.0,0.03044190693269632
ABRA,0.0,0.030718216175445668
ABRA,0.0,0.030982959155571265
ABRA,0.0,0.031154308659117523
ABRA,0.0,0.031332586046557455
ABRA,0.0,0.03161872174998663
ABRA,0.0,0.03179947459586962
ABRA,0.0,0.031868271624764535
ABRA,0.0,0.03217945095713689
ABRA,0.0,0.03223525124351964
ABRA,0.0,0.03236752048253675
ABRA,0.0,0.03249102114282037
ABRA,0.0,0.03305047835925375
ABRA,0.0,0.0333668469961338
ABRA,0.0,0.033965118661368844
ABRA,0.0,0.03438786069515568
ABRA,0.0,0.03445302875309615
ABRA,0.0,0.034825596539507876
ABRA,0.0,0.03502279268337564
ABRA,0.0,0.03575649220920049
ABRA,0.0,0.03576301996439862
ABRA,0.0,0.03585998070198218
ABRA,0.0,0.03596377314159271
ABRA,0.0,0.03603482419777793
ABRA,0.0,0.03615519680569413
ABRA,0.0,0.03630622592933589
ABRA,0.0,0.03683071985772864
ABRA,0.0,0.03706056696153115
ABRA,0.0,0.037252764458688845
ABRA,0.0,0.03753467405435902
ABRA,0.0,0.03790736838789403
ABRA,0.0,0.03823567720306965
ABRA,0.0,0.038655645276448596
ABRA,0.0,0.03884059334202626
ABRA,0.0,0.03898603984334155
ABRA,0.0,0.03927252605482577
ABRA,0.0,0.03946590180746144
ABRA,0.0,0.039541405619539956
ABRA,0.0,0.03971595885982026
ABRA,0.0,0.040307278408052614
ABRA,0.0,0.040384025540117656
ABRA,0.0,0.040410592515070926
ABRA,0.0,0.04078205052704484
ABRA,0.0,0.04142142665329225
ABRA,0.0,0.0417057135774592
ABRA,0.0,0.04199008734689326
ABRA,0.0,0.04212074180295089
ABRA,0.0,0.042145341533176436
ABRA,0.0,0.04243114158201707
ABRA,0.0,0.042498888227241925
ABRA,0.0,0.04263446304560679
ABRA,0.0,0.04304397568781731
ABRA,0.0,0.04306671866266854
ABRA,0.0,0.04312128114470064
ABRA,0.0,0.04343814920064473
ABRA,0.0,0.04351950079894168
ABRA,0.0,0.043568902895640124
ABRA,0.0,0.04363803844400598
ABRA,0.0,0.04371835942576032
ABRA,0.0,0.04420006778509294
ABRA,0.0,0.04467615527778931
ABRA,0.0,0.04494302370876001
ABRA,0.0,0.04508177738353959
ABRA,0.0,0.045149787322333
ABRA,0.0,0.0452603151362535
ABRA,0.0,0.04533584390664388
ABRA,0.0,0.045799854165470257
ABRA,0.0,0.045934923768518265
ABRA,0.0,0.0460339617891202
ABRA,0.0,0.04616742140704083
ABRA,0.0,0.046394025676135736
ABRA,0.0,0.04650936139322293
ABRA,0.0,0.0469287234294536
ABRA,0.0,0.0473226978422908
ABRA,0.0,0.04741833315830398
ABRA,0.0,0.04747536177366113
ABRA,0.0,0.047572941163561394
ABRA,0.0,0.047853065325235186
ABRA,0.0,0.047991707287276385
ABRA,0.0,0.0481630713152684
ABRA,0.0,0.048340942314243754
ABRA,0.0,0.048666252085485945
ABRA,0.0,0.049187558370733346
ABRA,0.0,0.04935468143985809
ABRA,0.0,0.049367956105253366
ABRA,0.0,0.04971233267614251
ABRA,0.0,0.0501828257204337
ABRA,0.0,0.050427525096672636
ABRA,0.0,0.050926783903885206
ABRA,0.0,0.051026586076377174
ABRA,0.0,0.0513597179967631
ABRA,0.0,0.05189153114761821
ABRA,0.0,0.052059052017344974
ABRA,0.0,0.052647470174712156
ABRA,0.0,0.05306205994834722
ABRA,0.0,0.05376933668013597
ABRA,0.0,0.054089142439108
ABRA,0.0,0.05416499274127434
ABRA,0.0,0.05430694474783642
ABRA,0.0,0.05466114109288924
ABRA,0.0,0.05490301298922733
ABRA,0.0,0.055161126742274004
ABRA,0.0,0.055289208101753806
ABRA,0.0,0.05530539528363052
ABRA,0.0,0.055520807805099645
ABRA,0.0,0.055540159574971645
ABRA,0.0,0.055814665506401226
ABRA,0.0,0.05584247557663963
ABRA,0.0,0.05589079148932529
ABRA,0.0,0.05602035366368285
ABRA,0.0,0.05605058556149026
ABRA,0.0,0.05630139456183404
ABRA,0.0,0.05650340744168705
ABRA,0.0,0.0574907683674613
ABRA,0.0,0.058217943941293766
ABRA,0.0,0.058301265831917505
ABRA,0.0,0.05863979662808825
ABRA,0.0,0.05892277413501424
ABRA,0.0,0.05900912939837594
ABRA,0.0,0.05948326409192359
ABRA,0.0,0.05983487764695732
ABRA,0.0,0.05986370560679267
ABRA,0.0,0.060268168034423995
ABRA,0.0,0.06069256906194089
ABRA,0.0,0.06165964384744455
ABRA,0.0,0.061718171165001355
ABRA,0.0,0.06248162717617406
ABRA,0.0,0.06304351852411072
ABRA,0.0,0.06314591191226644
ABRA,0.0,0.06344001390953961
ABRA,0.0,0.06465009946754574
ABRA,0.0,0.06490372887727272
ABRA,0.0,0.06516902424141352
ABRA,0.0,0.0656047625095792
ABRA,0.0,0.06613325985510592
ABRA,0.0,0.06761737409177802
ABRA,0.0,0.06782346325963769
ABRA,0.0,0.06792008544669262
ABRA,0.0,0.06906746453075341
ABRA,0.0,0.07208053090962471
ABRA,0.0,0.07271657004613344
ABRA,0.0,0.07384892787011828
ABRA,0.0,0.07398318442462067
ABRA,0.0,0.07447734439210102
ABRA,0.0,0.07461315728346264
ABRA,0.0,0.07591194669177576
ABRA,0.0,0.07623303593415735
ABRA,0.0,0.07741074600039134
ABRA,0.0,0.07896679493303103
ABRA,0.0,0.07979301804559097
ABRA,0.0,0.07983264695931022
ABRA,0.0,0.080738625445504
ABRA,0.0,0.08237964496800107
ABRA,0.0,0.08372851311153597
ABRA,0.0,0.08586829144022533
ABRA,0.0,0.08739265357624022
ABRA,0.0,0.08743284494097688
ABRA,0.0,0.08843146189999587
ABRA,0.0,0.08959925972301733
ABRA,0.0,0.08966048763365929
ABRA,0.0,0.09150021783014484
ABRA,0.0,0.09390143386341497
ABRA,0.0,0.09400960309698578
ABRA,0.0,0.09401405422658317
ABRA,0.0,0.09502973468438726
ABRA,0.0,0.09636331325090988
ABRA,0.0,0.0974850062865114
ABRA,0.0,0.09816281706397693
ABRA,0.0,0.09973703945134062
ABRA,0.0,0.09988022675227472
ABRA,0.0,0.10069259988728808
ABRA,0.0,0.10073164310521629
ABRA,0.0,0.1013592923079369
ABRA,0.0,0.10271466734951416
ABRA,0.0,0.10695192103722588
ABRA,0.0,0.10883784479444869
ABRA,0.0,0.11092000190087936
ABRA,0.0,0.1132754783001323
ABRA,0.0,0.1141207188756296
ABRA,0.0,0.11465756496564554
ABRA,0.0,0.11602766409444921
ABRA,0.0,0.12367313572614486
ABRA,0.0,0.12891784631013614
ABRA,0.0,0.12941316683418935
ABRA,0.0,0.1296306000560273
ABRA,0.0,0.13174575174320519
ABRA,0.0,0.1344953510585931
ABRA,0.0,0.13462005646675873
ABRA,0.0,0.1379546798533633
ABRA,0.0,0.13902739995814556
ABRA,0.0,0.14150353248820383
ABRA,0.0,0.14210885892054137
ABRA,0.0,0.14750227734412033
ABRA,0.0,0.14750273169661549
ABRA,0.0,0.14870855797637356
ABRA,0.0,0.15051774142818145
ABRA,0.0,0.1720578210300833
ABRA,0.0,0.17322849224526685
ABRA,0.0,0.17508388534292227
ABRA,0.0,0.18604179021489287
ABRA,0.0,0.19229367099359504
ABRA,0.0,0.19281491869777434
ABRA,0.0,0.19680295347419036
ABRA,0.0,0.1968404090765959
ABRA,0.0,0.19895052335213184
ABRA,0.0,0.2068947275981419
ABRA,0.0,0.22205409321627187
ABRA,0.0,0.24706173332640968
ABRA,0.0,0.2544448002317472
ABRA,0.0,0.27295425885151486
ABRA,0.0,0.29273067178507745
ABRA,0.0,0.31079770990381456
ABRA,0.0,0.34847004343249305
