Epsilon,Num_High_Mean,Num_High_CI_Low,Num_High_CI_High,Num_Low_Mean,Num_Low_CI_Low,Num_Low_CI_High,Size_High_Mean,Size_High_CI_Low,Size_High_CI_High,Size_Low_Mean,Size_Low_CI_Low,Size_Low_CI_High
0.1,38.637,38.0,39.0,41.0,41.0,41.0,1.0939912280701756,1.0789473684210527,1.1025641025641026,1.0820243902439028,1.0731707317073171,1.0975609756097562
0.15000000000000002,33.287,32.0,34.0,36.0,36.0,36.0,1.2293127228163994,1.2121212121212122,1.2424242424242424,1.2878611111111113,1.2777777777777777,1.3055555555555556
0.20000000000000004,27.148,25.0,29.0,33.488,30.0,36.0,1.4360788128219164,1.32,1.5517241379310345,1.5941597828526195,1.5151515151515151,1.6857142857142857
0.25000000000000006,22.096,20.0,24.0,27.122,25.0,29.0,1.912604856558392,1.7,2.1818181818181817,2.233464284017942,2.0357142857142856,2.4814814814814814
0.30000000000000004,18.067,16.0,20.0,23.687,20.0,26.0,1.9342514454585662,1.4705882352941178,2.55,3.1400824160224046,2.7390732265446225,3.5464015151515142
0.3500000000000001,16.69,14.0,19.0,19.676,17.0,22.0,2.564991384381013,1.7333333333333334,3.263157894736842,3.652530954432602,3.0588235294117645,4.2727272727272725
0.40000000000000013,13.402,11.0,16.0,17.156,15.0,20.0,3.1856654734154737,1.9166666666666667,4.133571428571429,4.551441451054107,3.8232536764705882,5.389166666666667
0.4500000000000001,10.9,9.0,13.0,17.004,15.0,19.0,3.5147143328893327,2.4,4.769230769230769,5.149994304766441,4.1875,6.05891544117647
0.5000000000000001,9.748,8.0,12.0,15.387,13.0,17.0,3.5239446192696193,2.3312500000000003,5.27340909090909,6.165968803418803,4.928434065934066,7.0625
0.5500000000000002,9.117,7.0,11.0,13.95,12.0,16.0,4.197180081030081,2.125,6.3,6.602113867015338,5.0,7.786071428571428
0.6000000000000002,9.055,7.0,11.024999999999977,12.86,11.0,15.0,4.592758585858586,2.142857142857143,6.888888888888889,7.078922827172827,5.2727272727272725,8.428571428571429
0.6500000000000001,8.122,6.0,10.0,12.506,11.0,14.0,4.6006681818181825,2.0,7.5,7.799144622044622,5.545454545454546,9.333928571428572
0.7000000000000002,5.53,4.0,7.0,12.584,11.0,14.0,5.051169047619047,2.0,8.5,8.665989177489179,6.4975000000000005,10.153846153846153
0.7500000000000002,5.413,4.0,7.0,11.729,10.0,14.0,5.161007142857143,2.0,9.142857142857142,9.715067920967922,7.5,11.727272727272727
0.8000000000000003,4.299,3.0,6.0,10.932,8.0,13.0,7.271792857142857,3.6666666666666665,12.75,10.306626007326008,7.818181818181818,13.0
0.8500000000000003,3.7,2.0,5.0,10.511,8.0,13.0,5.640616666666666,3.0,11.601666666666665,11.851405519480519,9.199545454545454,14.66944444444444
0.9000000000000002,3.426,2.0,5.0,10.102,7.0,12.0,6.601400000000001,3.0,14.75,12.313068753468754,9.219791666666666,15.334375
0.9500000000000003,3.404,2.0,5.0,8.966,7.0,11.0,8.45065,4.333333333333333,15.207499999999992,13.388474386724386,10.25,16.11145833333333
1.0000000000000002,2.991,1.0,5.0,9.061,7.0,11.0,6.5903833333333335,3.0,10.666666666666666,14.513037734487733,12.0,16.875
