Epsilon,Num_High_Mean,Num_High_CI_Low,Num_High_CI_High,Num_Low_Mean,Num_Low_CI_Low,Num_Low_CI_High,Size_High_Mean,Size_High_CI_Low,Size_High_CI_High,Size_Low_Mean,Size_Low_CI_Low,Size_Low_CI_High
0.1,39.0,39.0,39.0,40.45,39.0,41.0,1.0653846153846154,1.0512820512820513,1.1025641025641026,1.1097879924953096,1.0769230769230769,1.1219512195121952
0.15000000000000002,35.98,34.0,37.0,36.55,36.0,37.0,1.2138773942009236,1.1428571428571428,1.2777777777777777,1.207882882882883,1.1388888888888888,1.2702702702702702
0.20000000000000004,35.1,33.0,37.0,32.36,31.0,34.0,1.2538897101838278,1.1491755793226381,1.4054054054054055,1.4603875927203722,1.3225806451612903,1.5757575757575757
0.25000000000000006,28.91,28.0,30.0,29.77,29.0,30.0,1.4508743842364529,1.3214285714285714,1.6,1.6820533661740558,1.5862068965517242,1.8333333333333333
0.30000000000000004,23.14,22.0,25.0,27.68,26.0,29.0,1.9807793807641636,1.8219367588932807,2.2083333333333335,1.8881076937111418,1.6923076923076923,2.1379310344827585
0.3500000000000001,19.68,18.0,22.0,26.98,25.0,29.0,2.3544300524037367,1.9723684210526315,2.76758658008658,2.065076506252369,1.807037037037037,2.446455938697318
0.40000000000000013,16.52,14.0,19.0,23.78,22.0,26.0,2.72696076824792,2.0,3.306944444444444,2.5052547532982317,2.1275815217391303,3.196346153846154
0.4500000000000001,13.26,10.0,16.0,22.66,21.0,25.0,2.9691715327156505,1.9522727272727274,3.8004807692307683,3.1522490104098804,2.6666666666666665,3.821153846153846
0.5000000000000001,10.34,7.475,13.0,22.1,20.0,24.52499999999999,3.4088820901320904,2.0,4.538461538461538,3.614339745824986,3.0476190476190474,4.2402173913043475
0.5500000000000002,7.89,6.0,10.0,21.94,19.0,25.0,3.5461829004329,1.8333333333333333,5.152499999999999,4.1149672720998804,3.511309523809524,4.543655303030303
0.6000000000000002,7.43,5.0,10.524999999999991,20.09,17.0,23.52499999999999,4.180694444444445,1.8,6.0,4.6269071603435075,3.8281862745098043,5.179166666666667
0.6500000000000001,4.68,3.0,7.0,19.74,17.475,22.0,4.075666666666666,2.3333333333333335,6.262499999999996,5.490765768563858,4.7905921052631575,6.124368686868687
0.7000000000000002,4.02,3.0,6.0,19.0,17.0,21.0,4.498833333333334,2.6666666666666665,7.2541666666666655,5.809050266597868,4.861222910216719,6.541666666666666
0.7500000000000002,3.11,2.0,5.0,17.53,15.0,20.0,3.3564999999999996,1.0,7.5,6.932472295935918,5.880833333333333,7.614705882352941
0.8000000000000003,2.78,2.0,4.5249999999999915,16.54,14.0,19.0,3.1588333333333325,1.0,8.27,7.541326824791995,6.176785714285715,8.572303921568626
0.8500000000000003,3.02,2.0,4.0,15.29,13.0,17.52499999999999,4.270833333333334,1.0,9.131249999999998,7.870239137625361,6.148076923076924,9.234895833333333
0.9000000000000002,3.24,2.0,5.0,14.05,11.0,17.0,5.414666666666668,1.0,10.657499999999997,8.417879726482667,6.4625,9.966071428571428
0.9500000000000003,2.76,2.0,5.0,13.08,10.475,15.0,4.993333333333333,1.0,11.0,9.151239356232004,6.869318181818182,11.157692307692306
1.0000000000000002,2.31,2.0,4.0,12.71,10.0,15.0,3.5433333333333326,1.5,11.0,10.004437146187147,7.434659090909091,12.04375
