Epsilon,Num_High_Mean,Num_High_CI_Low,Num_High_CI_High,Num_Low_Mean,Num_Low_CI_Low,Num_Low_CI_High,Size_High_Mean,Size_High_CI_Low,Size_High_CI_High,Size_Low_Mean,Size_Low_CI_Low,Size_Low_CI_High
0.1,38.71,38.0,39.0,40.74,40.0,41.0,1.1033468286099863,1.1025641025641026,1.105263157894737,1.073646341463415,1.0731707317073171,1.075
0.15000000000000002,37.11,36.0,38.0,35.4,34.0,36.0,1.2336217796744113,1.1891891891891893,1.263157894736842,1.1880378151260502,1.1714285714285715,1.2
0.20000000000000004,35.73,35.0,37.0,31.75,31.0,32.0,1.4506861861861862,1.3714285714285714,1.4864864864864864,1.2485282258064516,1.21875,1.2903225806451613
0.25000000000000006,28.84,28.0,30.0,29.84,28.0,31.0,1.631276956759715,1.5,1.7666666666666666,1.5059914190370254,1.3571428571428572,1.6451612903225807
0.30000000000000004,24.43,23.0,26.0,26.38,25.0,28.0,2.1951422519509474,2.0197916666666664,2.451307692307692,1.686238624338624,1.5287692307692309,1.8888888888888888
0.3500000000000001,20.3,18.0,23.0,26.34,24.475,28.0,2.397274942956865,2.1052631578947367,2.628138528138528,2.024141595441595,1.842923076923077,2.1697499999999996
0.40000000000000013,19.16,18.0,21.0,21.18,19.0,23.0,2.3825267335004177,2.129583333333333,2.8049999999999997,2.801809035929745,2.5,3.189130434782608
0.4500000000000001,17.67,16.0,19.0,18.23,16.0,20.0,2.68431217750258,2.375,3.1387770897832814,3.5068861553393287,3.1447916666666664,3.9025
0.5000000000000001,16.41,14.0,18.0,16.05,13.475,18.0,2.9762504668534073,2.5514285714285716,3.400898692810457,4.18298269145715,3.6546875,4.722222222222222
0.5500000000000002,16.13,15.0,18.0,13.77,11.0,16.0,3.3624212184873947,2.8666666666666667,3.854411764705882,4.739865717615717,3.93,5.538461538461538
0.6000000000000002,14.92,13.0,16.0,12.59,10.0,15.0,3.848526287438052,3.1641666666666666,4.433258928571429,5.391753246753245,4.538461538461538,6.160576923076923
0.6500000000000001,13.8,12.0,15.0,10.6,8.0,13.0,4.469889485514485,3.654166666666667,5.184487179487179,6.2648183760683755,5.315833333333333,7.152499999999999
0.7000000000000002,13.26,11.0,15.0,9.76,8.0,12.0,4.75735144022644,3.7924825174825174,5.536025641025641,6.7403378010878,5.421111111111111,7.956818181818181
0.7500000000000002,11.33,9.0,13.0,9.31,7.0,11.524999999999991,5.250228438228438,4.225,6.4014423076923075,7.918432900432899,6.5075,9.26875
0.8000000000000003,10.54,8.0,12.0,8.8,7.0,11.0,5.360339160839162,4.047499999999999,6.583333333333333,8.969088023088023,7.796969696969697,10.529166666666667
0.8500000000000003,10.4,9.0,12.0,7.91,6.0,9.0,5.433080808080807,4.1,6.868333333333333,9.932555555555558,8.289583333333333,11.59955357142857
0.9000000000000002,9.87,8.0,12.0,7.45,6.0,9.0,5.570805194805194,4.095,7.583409090909089,11.183007936507936,9.053125,13.75
0.9500000000000003,9.11,7.0,11.0,6.72,6.0,8.0,6.280313852813853,4.333333333333333,8.789444444444445,11.714857142857145,9.245833333333334,14.628124999999995
1.0000000000000002,7.88,6.0,10.0,7.19,5.475,9.0,6.843182539682539,3.7750000000000004,9.104999999999999,11.647944444444445,9.346428571428572,14.428571428571429
