Epsilon,Num_High_Mean,Num_High_CI_Low,Num_High_CI_High,Num_Low_Mean,Num_Low_CI_Low,Num_Low_CI_High,Size_High_Mean,Size_High_CI_Low,Size_High_CI_High,Size_Low_Mean,Size_Low_CI_Low,Size_Low_CI_High
0.1,42.0,42.0,42.0,37.45,36.0,38.0,1.0545238095238094,1.0476190476190477,1.0714285714285714,1.1256527580211795,1.1081081081081081,1.135135135135135
0.15000000000000002,40.18,39.0,41.0,32.35,32.0,33.0,1.1460828642901815,1.125,1.175,1.292689393939394,1.21875,1.3333333333333333
0.20000000000000004,37.75,37.0,38.0,29.73,29.0,31.0,1.1854480796586062,1.1578947368421053,1.2702702702702702,1.57140971449759,1.4666666666666666,1.639543010752688
0.25000000000000006,30.64,30.0,32.0,28.04,27.0,29.0,1.398093182239525,1.3,1.53125,1.7542464878671773,1.6071428571428572,1.8620689655172413
0.30000000000000004,28.83,27.0,31.0,22.0,20.0,24.0,1.6359425110793295,1.462037037037037,1.8666666666666667,2.3188151728134567,2.1651136363636363,2.4545454545454546
0.3500000000000001,27.81,25.0,30.0,18.86,17.0,21.0,1.74417719815306,1.4886039886039886,1.9333333333333333,2.8390810420659496,2.6208333333333336,3.029166666666666
0.40000000000000013,23.66,22.0,26.0,16.69,14.0,19.0,1.857310317219013,1.5993577075098815,2.230769230769231,3.6629673141186294,3.2818627450980395,4.091452205882352
0.4500000000000001,21.75,19.0,25.0,14.18,12.0,17.0,2.3257082898032553,1.9,2.695738636363636,4.274036816941228,3.639448051948052,4.869999999999999
0.5000000000000001,19.87,18.0,22.0,12.52,10.0,15.0,2.7043943866292097,2.1302631578947366,3.2449110671936756,4.951845224220224,4.357692307692307,5.583333333333333
0.5500000000000002,18.11,15.475,20.0,11.75,10.0,14.0,2.8486000663423265,2.2719444444444443,3.5,5.750513486513487,5.0,6.6090909090909085
0.6000000000000002,16.34,14.0,18.0,11.2,8.475,13.0,3.272533165020395,2.626190476190476,3.909742647058823,6.450850954600955,5.347727272727273,7.61931818181818
0.6500000000000001,14.35,12.475,16.0,10.04,8.0,12.0,3.665778873087697,2.8394230769230773,4.642857142857143,7.523555167055167,6.158055555555555,9.00931818181818
0.7000000000000002,14.39,12.0,17.0,8.63,7.0,10.524999999999991,4.006454948646126,2.8461538461538463,5.226249999999999,8.233826479076479,6.11875,10.058333333333332
0.7500000000000002,12.38,10.0,15.0,8.26,6.0,10.0,4.981617882117883,3.4761363636363636,6.608076923076923,8.5162215007215,5.496428571428572,10.703124999999995
0.8000000000000003,12.21,10.0,14.0,7.1,5.0,9.0,5.470969197469198,3.7737499999999997,7.0,9.572476190476191,6.825,12.864285714285712
0.8500000000000003,11.61,10.0,13.0,6.73,5.0,8.524999999999991,5.756322677322678,4.1,7.543749999999999,10.155380952380952,6.7375,13.837499999999995
0.9000000000000002,11.52,10.0,13.0,5.79,4.0,7.5249999999999915,5.898899378399379,3.9045454545454548,7.8175,11.963892857142858,7.75,14.420833333333333
0.9500000000000003,10.82,9.0,13.0,5.0,4.0,6.0,6.656639471639471,4.194999999999999,8.879545454545449,12.712523809523807,8.36875,16.493749999999988
1.0000000000000002,10.24,8.475,12.0,4.83,3.0,6.0,7.029373931623931,4.26840909090909,9.710416666666665,13.407166666666669,9.41625,17.5525
