H0_PersistentEntropy,H0_L2_Norm,H0_Total_Persistence,Province
0.9929784088533609,10.042678997263453,109.0,ABRA
0.9924105160469976,7.697305208537471,63.0,AGUSAN DEL NORTE
0.9924450260568878,10.23962081952058,127.0,AGUSAN DEL SUR
0.9946927720377843,9.739822415178036,113.0,AKLAN
0.9934558979016367,10.141630194960392,93.0,ALBAY
0.989982320641017,10.075777611249567,125.0,ANTIQUE
0.9943350112115819,7.466810620381706,43.0,APAYAO
0.9923701871404118,6.385519496562185,35.0,AURORA
0.9843769701757954,11.029922215438535,103.0,BASILAN
0.9941422240317709,7.444506607656384,60.0,BATAAN
0.9873179343530822,3.6029718422686474,12.0,BATANES
0.9951056152692198,9.076456368464319,113.0,BATANGAS
0.9942258726782862,9.78244826785159,114.0,BENGUET
0.993083462624706,7.3205079814416285,47.0,BILIRAN
0.9942658824095193,10.831985736610223,242.0,BOHOL
0.9947402444796755,9.992846821771156,167.0,BUKIDNON
0.9940269832356009,8.47920382279413,64.0,BULACAN
0.9928329148412379,11.022368551646087,198.0,CAGAYAN
0.9943840766792023,9.338543405815413,88.0,CAMARINES NORTE
0.9957894074932576,10.793505527127842,261.0,CAMARINES SUR
0.9908376325554372,4.54279946070507,16.0,CAMIGUIN
0.9939593843845128,9.82488918752678,148.0,CAPIZ
0.9895145818629966,8.38049356940869,52.0,CATANDUANES
0.9939858940328686,7.599389106758341,58.0,CAVITE
0.9936899445021056,11.893863803870728,419.0,CEBU
0.995563853597428,7.522346489871259,82.0,DAVAO DE ORO
0.9947372644008049,10.017789808951836,102.0,DAVAO DEL NORTE
0.9955213436577711,9.739822415178036,179.0,DAVAO DEL SUR
0.9936315910001886,7.973425266979549,61.0,DAVAO OCCIDENTAL
0.993508290090298,7.653937933960397,55.0,DAVAO ORIENTAL
0.9900152707148289,7.077768823073442,37.0,DINAGAT ISLANDS
0.9901074396000767,10.504376673762179,135.0,EASTERN SAMAR
0.9921042986495284,5.350299507359476,28.0,GUIMARAS
0.9870796928716362,8.853680583221289,64.0,IFUGAO
0.995033973865447,10.793505527127842,168.0,ILOCOS NORTE
0.9935055386516719,11.022368551646087,169.0,ILOCOS SUR
0.9948084249002418,11.022368551646087,285.0,ILOILO
0.9951613054575164,10.793505527127842,330.0,ISABELA
0.9920984221516997,8.459556384351854,64.0,KALINGA
0.995286635112075,8.844284409631294,102.0,LA UNION
0.9931866417301997,7.159602744670913,48.0,LAGUNA
0.9934442904830503,12.143122024176447,211.0,LANAO DEL NORTE
0.9856001814892621,12.373916462004269,102.0,LANAO DEL SUR
0.9944357831741382,12.547553799143238,438.0,LEYTE
0.9863368358501885,11.646418741682432,192.0,MAGUINDANAO
0.9936647739489853,7.444506607656384,54.0,MARINDUQUE
0.9934354630579776,11.022368551646087,200.0,MASBATE
0.9933018606228369,9.824889187526779,154.0,MISAMIS OCCIDENTAL
0.9950414149212351,9.347454580409252,191.0,MISAMIS ORIENTAL
0.9909158227714839,8.711557868770686,69.0,MOUNTAIN PROVINCE
0.9930831992065259,7.054213379110538,41.0,NATIONAL CAPITAL REGION - FOURTH DISTRICT
0.9906736475688301,4.962999685605134,22.0,NATIONAL CAPITAL REGION - MANILA
0.9912552575746475,5.396748971171426,25.0,NATIONAL CAPITAL REGION - SECOND DISTRICT
0.9917925650709537,4.7750104635365025,23.0,NATIONAL CAPITAL REGION - THIRD DISTRICT
0.993038069054929,11.246575274833404,244.0,NEGROS OCCIDENTAL
0.989778555837104,11.022368551646087,181.0,NEGROS ORIENTAL
0.9922590611910468,12.346993942584426,269.0,NORTH COTABATO
0.989500249654349,11.466398839071989,183.0,NORTHERN SAMAR
0.9945415636913173,9.593473076835133,100.0,NUEVA ECIJA
0.9914243350435328,8.749688894878009,86.0,NUEVA VIZCAYA
0.989904340499385,9.9008168719318,79.0,OCCIDENTAL MINDORO
0.9920550390239343,9.541290362641577,149.0,ORIENTAL MINDORO
0.9935059781275628,10.280174510267194,142.0,PALAWAN
0.9945532392690581,9.951122256780582,104.0,PAMPANGA
0.9926056026954064,6.590732270929033,39.0,PANGASINAN
0.9932561969419945,11.022368551646087,279.0,QUEZON
0.9825118667428746,6.28041018571191,33.0,QUIRINO
0.9939996678021583,8.85367873390229,74.0,RIZAL
0.994104398853122,8.410224692970319,62.0,ROMBLON
0.9908331267279045,6.678539410347871,44.0,SARANGANI
0.9883548004666075,6.615949548986532,44.0,SIQUIJOR
0.9956720726557864,10.190739271665029,150.0,SORSOGON
0.9960192585612945,7.309145603160473,83.0,SOUTH COTABATO
0.9945190221534633,10.739401448958894,146.0,SOUTHERN LEYTE
0.9929208082739134,9.799440594332845,105.0,SULTAN KUDARAT
0.9647866660920624,9.636750115557607,48.0,SULU
0.9923651858149308,9.731275596156811,105.0,SURIGAO DEL NORTE
0.9925019435472936,9.122182504347553,97.0,SURIGAO DEL SUR
0.9933823565162229,7.577449954613957,53.0,TARLAC
0.9772795150082244,9.628112650573328,54.0,TAWI-TAWI
0.9912330072233738,13.579487462086036,402.0,WESTERN SAMAR
0.9933744989985189,5.711395955244693,34.0,ZAMBALES
0.9902037356958093,10.808916094853593,212.0,ZAMBOANGA DEL NORTE
0.9908309933005207,12.019133976287465,202.0,ZAMBOANGA DEL SUR
0.9918135975089787,10.376855339225768,141.0,ZAMBOANGA SIBUGAY
