Epsilon,Num_Balls_Mean,Num_Balls_CI_Lower,Num_Balls_CI_Upper,Avg_Ball_Size_Mean,Avg_Ball_Size_CI_Lower,Avg_Ball_Size_CI_Upper
0.1,79.3353,78.0,80.0,1.0882394388997079,1.0875,1.0897435897435896
0.15000000000000002,72.4661,71.0,73.0,1.2118372264025552,1.1917808219178083,1.2222222222222223
0.20000000000000004,67.4036,66.0,69.0,1.3542958453778535,1.3134328358208955,1.3880597014925373
0.25000000000000006,58.5045,57.0,60.0,1.5660323113526071,1.5084745762711864,1.603448275862069
0.30000000000000004,51.0809,49.0,53.0,1.9376578782661105,1.8431372549019607,2.0392156862745097
0.3500000000000001,46.829,44.0,49.0,2.203221139343054,2.0652173913043477,2.326530612244898
0.40000000000000013,40.7197,38.0,43.0,2.619646471397206,2.45,2.8048780487804876
0.4500000000000001,35.987,33.0,38.0,3.1109683246335456,2.918918918918919,3.3513513513513513
0.5000000000000001,32.6198,30.0,35.0,3.555894042194987,3.272727272727273,3.8788770053475923
0.5500000000000002,30.1191,27.0,33.0,3.958904671697231,3.6129032258064515,4.333333333333333
0.6000000000000002,27.74,25.0,31.0,4.496613247821148,4.103448275862069,4.925925925925926
0.6500000000000001,24.5036,22.0,27.0,5.23114777338351,4.761904761904762,5.708333333333333
0.7000000000000002,23.0496,21.0,25.0,5.631202961298428,5.0476190476190474,6.2
0.7500000000000002,20.5756,18.0,23.0,6.447654198947001,5.7894736842105265,7.1
0.8000000000000003,19.2474,17.0,22.0,6.959556096702706,6.2105263157894735,7.75
0.8500000000000003,18.2983,16.0,20.0,7.376212451963242,6.470588235294118,8.294117647058824
0.9000000000000002,17.3015,15.0,19.0,7.962878749324291,6.944444444444445,9.058823529411764
0.9500000000000003,15.9583,14.0,18.0,8.574042230831605,7.352941176470588,9.857142857142858
1.0000000000000002,15.2189,13.0,17.0,9.100351631873458,7.705882352941177,10.692307692307692
